"","functional_group","Treatment","mean_year_0","median_year_0","se_year_0","max_year_0","mean_year_2","median_year_2","se_year_2","max_year_2","mean_year_3","median_year_3","se_year_3","max_year_3"
"1","Bare_peat","C",90.78125,95,1.82541111973396,100,90.9375,95,2.44328304877917,100,80.9375,90,3.84239338110523,99
"2","Bare_peat","M",89.125,95,2.28941727337174,100,24.90625,20,2.85304003645178,60,38.28125,34,4.40084173927135,85
"3","Bare_peat","S",88.6607142857143,90,1.52623737020297,100,6.1890625,3,1.03587944096204,50,9.671875,5,1.42366177198864,45
"4","Bare_peat","R",NA,NA,NA,NA,NA,NA,NA,NA,0.0333333333333333,0,0.0333333333333333,1
"5","Bet_nan","C",0,0,0,0,0,0,0,0,0,0,0,0
"6","Bet_nan","M",0,0,0,0,0,0,0,0,0,0,0,0
"7","Bet_nan","S",0,0,0,0,0.0015625,0,0.0015625,0.1,0,0,0,0
"8","Bet_nan","R",NA,NA,NA,NA,NA,NA,NA,NA,1.53666666666667,0,0.972713745482884,27
"9","Blueberry","C",0,0,0,0,0.00625,0,0.00434755214775158,0.1,0.003125,0,0.003125,0.1
"10","Blueberry","M",0,0,0,0,0.00625,0,0.00434755214775158,0.1,0.00625,0,0.00434755214775158,0.1
"11","Blueberry","S",0,0,0,0,0,0,0,0,0.0421875,0,0.0313236978203227,2
"12","Blueberry","R",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"13","Bushes","C",0,0,0,0,0,0,0,0,0,0,0,0
"14","Bushes","M",0,0,0,0,0,0,0,0,0.35,0,0.208440832480494,6
"15","Bushes","S",0,0,0,0,0,0,0,0,0.409375,0,0.246651370483742,15
"16","Bushes","R",NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0.0735003323160835,2
"17","Carex","C",0,0,0,0,0,0,0,0,0,0,0,0
"18","Carex","M",0,0,0,0,0.003125,0,0.003125,0.1,0.03125,0,0.03125,1
"19","Carex","S",0,0,0,0,0,0,0,0,0.03125,0,0.0219210117003813,1
"20","Carex","R",NA,NA,NA,NA,NA,NA,NA,NA,1.16666666666667,0,0.472419386380737,11
"21","Dead_sph","C",2.690625,0,1.25897871576688,35,0.565625,0,0.474949262464237,15,0.690625,0,0.548777221659297,17
"22","Dead_sph","M",1.821875,0,0.759227302110614,15,0.034375,0,0.0313053944516627,1,0.21875,0,0.140091955687638,4
"23","Dead_sph","S",1.43214285714286,0,0.353627832310731,10,0.7046875,0,0.255509039921579,10,1.1890625,0,0.724692453883559,45
"24","Dead_sph","R",NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0.0557086014531156,1
"25","Dead_wood","C",0.75,0,0.254000254000381,6,1.071875,0,0.408163530019407,10,0.78125,0,0.361265626406085,10
"26","Dead_wood","M",0.46875,0,0.190417490174921,5,0.4125,0,0.172665885641942,3,0.28125,0,0.128847050800552,3
"27","Dead_wood","S",0.482142857142857,0,0.148566901779189,5,0.0671875,0,0.0377343660139166,2,0.2546875,0,0.0831524730080899,3
"28","Dead_wood","R",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"29","Drosera","C",0,0,0,0,0.225,0,0.188906018620286,6,0.103125,0,0.068756872823623,2
"30","Drosera","M",0.003125,0,0.003125,0.1,0.16875,0,0.0905223974245262,2,0.296875,0,0.119768288976485,3
"31","Drosera","S",0,0,0,0,0.0609375,0,0.0346908960871489,2,0.1546875,0,0.0406378757068364,1
"32","Drosera","R",NA,NA,NA,NA,NA,NA,NA,NA,0.273333333333333,0.1,0.0748843297042114,1
"33","Eriopherum","C",0.08125,0,0.0431701201549584,1,2.4625,1,0.692729378571087,15,6.103125,2.5,1.81367167009779,50
"34","Eriopherum","M",0.671875,0,0.624277556250345,20,3.446875,0.1,2.48887437463641,80,5.79375,2,2.51465036970447,80
"35","Eriopherum","S",0.232142857142857,0,0.179358654381855,10,1.9796875,0.55,0.580422925339295,30,6.8265625,4,1.38009201834684,60
"36","Eriopherum","R",NA,NA,NA,NA,NA,NA,NA,NA,3.33333333333333,3,0.445496838316718,12
"37","Grasses","C",0.003125,0,0.003125,0.1,0.0375,0,0.0313506443829438,1,0.290625,0,0.150024149601688,4
"38","Grasses","M",0.00625,0,0.00434755214775158,0.1,0.009375,0,0.00523514603733822,0.1,0.13125,0,0.0742485880174205,2
"39","Grasses","S",0.00535714285714286,0,0.00303619171188469,0.1,0.021875,0,0.0158221686827501,1,0.2296875,0,0.0872496329499488,4
"40","Grasses","R",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
