"","Location","Sph_sp","Species_full","cover","se_cover","proportion","se_prop"
"1","BSM","Sph ang","S. angustifolium",23.625,1.67739420405267,0.3648497410967,0.0167085239123438
"2","BSM","Sph cap","S. capillifolium",14.90625,0.85968146449411,0.235628845052876,0.0105457211873348
"3","BSM","Sph pap","S. papillosum",9.73958333333333,0.782658087789963,0.161141680045684,0.0116580384423651
"4","BSM","Sph ten","S. tenellum",15.25,1.37346405441567,0.219529044023909,0.014992001933168
"5","BSM","Sph bal","S. balticum",0.541666666666667,0.158056082281571,0.00856582066638458,0.00270633819416985
"6","BSM","Sph com","S. compactum",0.46875,0.145813751818195,0.00696641673349297,0.00220142699802323
"7","BSM","Sph div","S. divinum",0.03125,0.0231940942649617,0.000714285714285714,0.000509487502512685
"8","BSM","Sph maj","S. majus",0,0,0,0
"9","BSM","Sph rip","S. riparium",0.03125,0.03125,0.00208333333333333,0.00208333333333333
"10","BSM","Sph rus","S. russowi",0,0,0,0
"11","BSM","Sph cf","S. cf",0.0520833333333333,0.0520833333333333,0.000520833333333333,0.000520833333333333
"12","HM","Sph ang","S. angustifolium",38.1979166666667,2.56009439037825,0.621891209484398,0.0207607755058089
"13","HM","Sph cap","S. capillifolium",8.22916666666667,0.721000639746332,0.136429979529142,0.00953120954482045
"14","HM","Sph pap","S. papillosum",4.94791666666667,0.601053496113331,0.0847139178129453,0.00927230771391874
"15","HM","Sph ten","S. tenellum",9.64583333333333,1.1652854449141,0.15775719348736,0.0142210974284533
"16","HM","Sph bal","S. balticum",0.104166666666667,0.104166666666667,0.00115740740740741,0.00115740740740741
"17","HM","Sph com","S. compactum",0,0,0,0
"18","HM","Sph div","S. divinum",0.03125,0.03125,0.00104166666666667,0.00104166666666667
"19","HM","Sph maj","S. majus",0,0,0,0
"20","HM","Sph rip","S. riparium",0,0,0,0
"21","HM","Sph rus","S. russowi",0,0,0,0
"22","HM","Sph cf","S. cf",0,0,0,0
"23","VSM","Sph ang","S. angustifolium",22.53125,2.69782473643707,0.583615048433335,0.0305395165436002
"24","VSM","Sph cap","S. capillifolium",3.5,0.584607452070082,0.129162617465131,0.018150247806651
"25","VSM","Sph pap","S. papillosum",6.203125,1.43219426075712,0.161172485697067,0.0226880474930064
"26","VSM","Sph ten","S. tenellum",2.453125,0.307745326950582,0.0831791836912133,0.010933006855778
"27","VSM","Sph bal","S. balticum",0,0,0,0
"28","VSM","Sph com","S. compactum",0.21875,0.107894601531692,0.00622592787114846,0.0025213718985905
"29","VSM","Sph div","S. divinum",0.046875,0.0347160212716911,0.003125,0.00264762026688145
"30","VSM","Sph maj","S. majus",0.15625,0.15625,0.00164473684210526,0.00164473684210526
"31","VSM","Sph rip","S. riparium",0,0,0,0
"32","VSM","Sph rus","S. russowi",0.34375,0.141243678746039,0.0160267857142857,0.00696510708594146
"33","VSM","Sph cf","S. cf",0.109375,0.0836813788407107,0.01953125,0.0160456159138427
