"","Location","Sublocation","Sph_sp","Species_full","cover","se_cover","proportion","se_prop"
"1","BSM","1","Sph ang","S. angustifolium",15.0625,1.5975898556182,0.368615674635239,0.0247395565808677
"2","BSM","1","Sph cap","S. capillifolium",11.75,1.29981388245866,0.264086765752338,0.0172096146186612
"3","BSM","1","Sph pap","S. papillosum",6.8125,1.08456686389455,0.173747105922789,0.0234042572740099
"4","BSM","1","Sph ten","S. tenellum",7.34375,0.915380864458138,0.163325886590067,0.0166144906514804
"5","BSM","1","Sph bal","S. balticum",0.5625,0.249747856718499,0.0131628787878788,0.00665681044466622
"6","BSM","1","Sph com","S. compactum",0.375,0.178196611241809,0.00866883116883117,0.00453561011282206
"7","BSM","1","Sph div","S. divinum",0.09375,0.0689695906576505,0.00214285714285714,0.00151251091541717
"8","BSM","1","Sph maj","S. majus",0,0,0,0
"9","BSM","1","Sph rip","S. riparium",0.09375,0.09375,0.00625,0.00625
"10","BSM","1","Sph rus","S. russowi",0,0,0,0
"11","BSM","1","Sph cf","S. cf",0,0,0,0
"12","BSM","2","Sph ang","S. angustifolium",28.4375,2.83089860206283,0.371014981700415,0.0256675889557705
"13","BSM","2","Sph cap","S. capillifolium",16.96875,1.50032548551973,0.225209587922091,0.0165176454658321
"14","BSM","2","Sph pap","S. papillosum",8.84375,1.17613138306991,0.118424887997464,0.0139749921095323
"15","BSM","2","Sph ten","S. tenellum",21.46875,2.88068665334466,0.276125747996567,0.0292618794929693
"16","BSM","2","Sph bal","S. balticum",0.59375,0.245357601925395,0.00779505582137161,0.00333200286141889
"17","BSM","2","Sph com","S. compactum",0.125,0.0869510429550315,0.0014297385620915,0.000994970974966256
"18","BSM","2","Sph div","S. divinum",0,0,0,0
"19","BSM","2","Sph maj","S. majus",0,0,0,0
"20","BSM","2","Sph rip","S. riparium",0,0,0,0
"21","BSM","2","Sph rus","S. russowi",0,0,0,0
"22","BSM","2","Sph cf","S. cf",0,0,0,0
"23","BSM","3","Sph ang","S. angustifolium",27.375,3.42569453753777,0.354918566954447,0.0359286905306556
"24","BSM","3","Sph cap","S. capillifolium",16,1.53520514548046,0.2175901814842,0.0203299974343152
"25","BSM","3","Sph pap","S. papillosum",13.5625,1.5160016783334,0.1912530462168,0.0203272780192456
"26","BSM","3","Sph ten","S. tenellum",16.9375,2.20242603588597,0.219135497485094,0.0269965544107603
"27","BSM","3","Sph bal","S. balticum",0.46875,0.326838395378432,0.00473952738990333,0.0032783353795531
"28","BSM","3","Sph com","S. compactum",0.90625,0.38195004476181,0.0108006804695562,0.00462992343334918
"29","BSM","3","Sph div","S. divinum",0,0,0,0
"30","BSM","3","Sph maj","S. majus",0,0,0,0
"31","BSM","3","Sph rip","S. riparium",0,0,0,0
"32","BSM","3","Sph rus","S. russowi",0,0,0,0
"33","BSM","3","Sph cf","S. cf",0.15625,0.15625,0.0015625,0.0015625
"34","HM","1","Sph ang","S. angustifolium",28.65625,3.08926646443884,0.564088593448555,0.0353216496927465
"35","HM","1","Sph cap","S. capillifolium",10.40625,1.41625028471369,0.183286381288236,0.0177984192015126
"36","HM","1","Sph pap","S. papillosum",5.78125,1.3654244104177,0.102703306416035,0.0205377408817656
"37","HM","1","Sph ten","S. tenellum",9.3125,1.52362940788784,0.166627205389616,0.0226701722969048
"38","HM","1","Sph bal","S. balticum",0,0,0,0
"39","HM","1","Sph com","S. compactum",0,0,0,0
"40","HM","1","Sph div","S. divinum",0.09375,0.09375,0.003125,0.003125
"41","HM","1","Sph maj","S. majus",0,0,0,0
"42","HM","1","Sph rip","S. riparium",0,0,0,0
"43","HM","1","Sph rus","S. russowi",0,0,0,0
"44","HM","1","Sph cf","S. cf",0,0,0,0
"45","HM","2","Sph ang","S. angustifolium",59.75,4.65611807022448,0.702064785343962,0.0405712581510915
"46","HM","2","Sph cap","S. capillifolium",8.59375,1.39328702711227,0.105412412772126,0.016018917343486
"47","HM","2","Sph pap","S. papillosum",5.75,1.00803225754837,0.0696517417273927,0.0115067425055907
"48","HM","2","Sph ten","S. tenellum",10.09375,2.79917880202852,0.121545946777834,0.029788958305051
