WAL #;Sample_ID;Burial_Date;Retrieval_Date;#Anion;#Cation;Notes;Location;Field;Plot;Treatment;NO3-N;NH4-N;Ca;Mg;K;P;Fe;Mn;Cu;Zn;B;S;Pb;Al;Cd
Method Detection Limits (mdl):;;;;;;;;;;;2;2;2;4;4;0.2;0.4;0.2;0.2;0.2;0.2;2;0.2;0.4;0.2
197849;1;12.06.2020;07.10.2020;2;2;;HM;3;3;C;0;31;459;1311;17;13.0;68;0.3;0.1;1.0;0;857;0.1;15.aug;0.0
197850;2;12.06.2020;07.10.2020;2;2;;HM;3;4;M;0;43;539;1228;73;01.jan;220;0.5;0.1;02.mai;0.29;110;03.jul;24.jun;0.0
197851;3;12.06.2020;07.10.2020;2;2;;HM;3;3;M;0;49;265;1543;77;04.apr;208;0.2;0.1;2.0;0.15;433;1.0;28.jan;0.0
197852;4;12.06.2020;07.10.2020;2;2;;HM;2;3;C;0;22;629;1166;17;03.jan;238;05.feb;0.1;03.sep;0.41;197;0.6;18.mar;0.0
197853;5;12.06.2020;07.10.2020;2;2;;HM;1;3;M;0;36;652;1033;30;04.jan;770;01.aug;0.1;03.aug;0.18;339;0.8;19.jun;0.0
197854;6;12.06.2020;07.10.2020;2;2;;HM;3;1;M;0;31;243;1199;170;3.0;125;0.2;0.1;02.jan;0;168;0.4;18.mai;0.0
197855;7;12.06.2020;07.10.2020;2;2;;HM;2;4;C;0;31;547;1339;18;02.aug;164;0.4;0.1;2.0;0.35;330;0.3;24.jan;0.0
197856;8;12.06.2020;07.10.2020;2;2;;HM;2;2;M;0;23;485;1129;53;01.jul;162;0.4;0.1;01.aug;0;91;0.7;19.aug;0.0
197857;9;12.06.2020;07.10.2020;2;2;;HM;1;4;M;0;17;575;1324;34;07.jun;56;01.jun;0.1;6.0;0.58;310;03.mai;29.aug;0.1
197858;10;12.06.2020;07.10.2020;2;2;;HM;3;2;M;0;22;402;1377;95;0.3;129;0.2;0.2;01.mai;0.36;148;0.5;26.aug;0.0
197859;11;12.06.2020;07.10.2020;2;2;;HM;2;2;C;0;25;635;1460;18;0.2;144;0.6;0.1;01.feb;0.79;208;0.2;27.mar;0.0
197860;12;12.06.2020;07.10.2020;2;2;;HM;1;2;C;0;13;464;1176;11;01.mai;84;0.7;0.1;03.jun;0;351;0.7;15.aug;0.0
197861;13;12.06.2020;07.10.2020;2;2;;HM;1;3;C;0;27;580;952;7;3.0;716;01.aug;0.0;02.mai;0.71;681;01.mar;27.sep;0.0
197862;14;12.06.2020;07.10.2020;2;2;;HM;1;2;C;0;22;494;1096;10;01.mai;678;2.0;0.1;01.sep;jan.17;514;01.apr;37.8;0.0
197863;15;12.06.2020;07.10.2020;2;2;;HM;1;1;M;0;15;524;1172;36;01.sep;220;1.0;0.1;02.jan;0;323;0.3;21.0;0.0
197864;16;12.06.2020;07.10.2020;2;2;;HM;1;1;C;0;24;508;1173;5;0.9;126;01.apr;0.1;01.jun;0;796;0.2;14.mai;0.0
197865;17;12.06.2020;07.10.2020;2;2;;HM;2;4;M;0;31;524;1246;56;01.jun;139;01.jun;0.3;01.mai;0.28;179;0.2;18.mai;0.0
197866;18;12.06.2020;07.10.2020;2;2;;HM;3;1;C;0;11;314;1198;25;02.feb;140;0.2;0.1;0.8;0;340;0.3;18.0;0.0
197867;19;12.06.2020;07.10.2020;2;2;;HM;2;3;M;0;44;658;1211;47;02.jan;406;06.mai;0.2;06.mar;0.39;88;01.jan;17.0;0.0
197868;20;12.06.2020;07.10.2020;2;2;;HM;1;2;M;0;18;422;1026;37;0.4;1363;04.mar;0.1;01.jun;0.11;401;0.6;23.jul;0.0
197869;21;12.06.2020;07.10.2020;2;2;;HM;3;4;C;0;47;475;1546;10;0.7;170;0.4;0.1;02.apr;0.46;335;02.mar;30.jun;0.0
197870;22;12.06.2020;07.10.2020;2;2;;HM;3;2;C;0;43;401;1261;15;1.0;109;0.3;0.1;01.apr;0.24;279;0.4;20.jul;0.0
197871;23;12.06.2020;07.10.2020;2;2;;HM;2;1;C;0;20;503;1202;20;01.feb;58;0.4;0.0;01.sep;0;474;0.1;14.0;0.0
197872;24;12.06.2020;07.10.2020;2;2;;HM;2;1;M;0;37;505;1265;59;01.feb;173;0.9;0.2;01.jan;0.18;142;0.2;17.sep;0.0
197873;25;12.06.2020;07.10.2020;2;2;;VSM;2;1;M;0;3;787;1068;15;0.7;113;11.aug;0.2;02.mar;0.25;900;0.1;36.6;0.0
197874;26;12.06.2020;07.10.2020;2;2;;VSM;2;4;C;0;7;897;1169;25;02.apr;117;13.sep;0.2;03.aug;0.39;963;0.2;42.8;0.0
197875;27;12.06.2020;07.10.2020;2;2;;VSM;2;1;C;0;3;964;1206;16;1.0;73;19.jul;0.2;03.mar;0.49;903;0.1;56.2;0.0
197876;28;12.06.2020;07.10.2020;2;2;;VSM;2;4;M;0;7;722;964;18;0.7;61;06.sep;0.1;04.jan;0;615;0.1;30.jul;0.0
197877;29;12.06.2020;07.10.2020;2;2;;VSM;1;3;M;0;1;660;820;36;01.sep;8;15.apr;0.5;09.jan;0;550;0.4;177.2;0.0
197878;30;12.06.2020;07.10.2020;2;2;;VSM;1;2;M;0;7;766;801;60;7.0;10;16.apr;0.8;16.jan;0.63;128;01.jan;252.8;0.0
197879;31;12.06.2020;07.10.2020;2;2;;VSM;1;3;C;0;2;816;947;30;2.0;10;22.jan;01.apr;10.0;0.19;587;02.jan;230.9;0.0
197880;32;12.06.2020;07.10.2020;2;2;;VSM;1;1;M;0;3;775;1215;103;8.0;10;22.jul;0.4;15.jan;0.58;115;0.4;108.4;0.0
197881;33;12.06.2020;07.10.2020;2;2;;VSM;1;4;C;1;3;790;1070;25;6.0;5;21.sep;0.5;08.jan;0.38;276;0.5;153.8;0.0
197882;34;12.06.2020;07.10.2020;2;2;;VSM;1;4;M;0;3;671;942;174;09.mai;12;39.2;03.jun;16.aug;0.09;256;1.0;118.7;0.0
197883;35;12.06.2020;07.10.2020;2;2;;VSM;1;2;C;0;2;598;687;39;02.aug;7;18.mai;1.0;15.jan;0.22;258;01.feb;213.2;0.0
197884;36;12.06.2020;07.10.2020;2;2;;VSM;1;1;C;0;2;702;1046;92;04.apr;7;26.0;0.5;11.mar;0.67;291;0.5;128.6;0.0
197885;37;12.06.2020;07.10.2020;2;2;;VSM;2;3;M;0;8;1055;1120;33;0.9;4;02.feb;0.0;06.apr;0.26;942;0.0;22.jun;0.0
197886;38;12.06.2020;07.10.2020;2;2;;VSM;2;3;C;0;5;985;1095;15;02.jan;60;11.jan;0.1;03.aug;0.64;871;0.1;54.0;0.0
197887;39;12.06.2020;07.10.2020;2;2;;VSM;2;2;M;0;2;819;1221;28;1.0;5;09.jul;0.1;07.sep;0.88;481;0.1;31.jan;0.0
197888;40;12.06.2020;07.10.2020;2;2;;VSM;2;2;C;1;2;833;1213;23;01.apr;4;8.0;0.1;01.sep;0.2;825;0.0;24.apr;0.0
203358;1;07.06.2021;13.09.2021;2;2;;BSM;1;1;C;13;16;718;753;7;0.07;02.feb;01.sep;0.11;apr.91;0.02;674;0.19;16.mai;0.01
203359;3;07.06.2021;13.09.2021;2;2;;BSM;1;1;SP;3;25;625;753;87;0.30;02.feb;01.aug;0.09;jun.43;02.sep;504;0.33;37.1;0.01
203360;4;07.06.2021;13.09.2021;2;2;;BSM;1;2;C;79;44;647;753;15;0.08;02.mai;0.7;0.19;jul.37;0.00;125;0.60;20.feb;0.02
203361;5;07.06.2021;13.09.2021;2;2;;BSM;1;2;M;4;39;698;754;77;0.24;04.feb;0.6;0.13;jun.36;jan.27;112;jan.46;31.6;0.05
203362;6;07.06.2021;13.09.2021;2;2;broken cation probe;BSM;1;2;SP;1;27;682;759;55;0.34;02.feb;01.mar;0.11;sep.48;0.00;266;0.91;19.mar;0.03
203363;7;07.06.2021;13.09.2021;2;2;;BSM;1;3;C;0;12;771;762;11;0.14;100.4;01.sep;0.05;apr.37;0.00;554;jan.80;17.feb;0.07
203364;8;07.06.2021;13.09.2021;2;2;;BSM;1;3;M;0;22;889;752;39;0.12;375.5;8.0;0.05;mai.50;0.42;197;jan.22;27.mai;0.05
203365;9;07.06.2021;13.09.2021;2;2;;BSM;1;3;SP;22;28;744;752;68;0.22;232.1;02.jul;0.18;sep.24;0.72;447;apr.72;47.7;0.06
203366;10;07.06.2021;13.09.2021;2;2;;BSM;1;4;C;34;11;592;759;7;0.11;09.sep;0.7;0.07;sep.80;0.47;519;jan.72;60.7;0.07
203367;11;07.06.2021;13.09.2021;2;2;;BSM;1;4;M;4;23;632;752;81;0.21;13.feb;01.jun;0.14;sep.57;jan.88;324;jan.57;70.5;0.05
203368;12;07.06.2021;13.09.2021;2;2;;BSM;1;4;SP;2;29;588;751;235;0.12;06.feb;0.9;0.07;aug.59;0.25;244;0.64;39.7;0.13
203369;13;07.06.2021;13.09.2021;2;2;;BSM;2;1;C;0;34;855;752;38;0.13;65.0;0.5;0.12;03.jul;0.44;549;0.45;26.jan;0.02
203370;14;07.06.2021;13.09.2021;2;2;;BSM;2;1;M;5;17;724;761;29;0.06;01.apr;01.jul;0.07;jan.74;0.00;636;0.14;19.mai;0.01
203371;15;07.06.2021;13.09.2021;2;2;;BSM;2;1;SP;4;20;755;762;28;0.10;2.0;01.jun;0.02;jan.49;0.25;726;0.20;23.feb;0.01
203372;16;07.06.2021;13.09.2021;2;2;;BSM;2;2;C;1;13;709;753;24;0.07;23.jul;01.jan;0.04;jan.25;0.42;671;0.03;24.feb;0.00
203373;17;07.06.2021;13.09.2021;2;2;;BSM;2;2;M;2;16;781;752;76;0.11;84.2;01.jan;0.06;jan.64;0.49;563;0.61;26.sep;0.01
203374;18;07.06.2021;13.09.2021;2;2;;BSM;2;2;SP;2;10;724;756;50;0.15;03.mar;2.0;0.02;1.00;0.27;643;0.38;23.feb;0.04
203375;19;07.06.2021;13.09.2021;2;2;;BSM;2;3;C;1;7;821;759;42;0.08;5.0;05.apr;0.04;01.jul;0.00;657;0.04;19.feb;0.01
203376;20;07.06.2021;13.09.2021;2;2;;BSM;2;3;M;0;15;672;762;82;0.18;41.3;01.apr;0.09;jan.37;0.28;307;0.14;32.2;0.02
203377;21;07.06.2021;13.09.2021;2;2;;BSM;2;3;SP;0;13;659;752;59;0.20;20.apr;0.7;0.06;feb.17;0.00;357;jan.25;27.aug;0.04
203378;22;07.06.2021;13.09.2021;2;2;;BSM;2;4;C;0;22;725;759;39;0.21;291.1;4.0;0.07;mar.37;0.48;169;feb.80;23.jun;0.03
203379;23;07.06.2021;13.09.2021;2;2;;BSM;2;4;M;0;15;800;761;84;0.17;246.1;02.feb;0.10;jan.94;0.89;405;0.62;40.9;0.03
203380;24;07.06.2021;13.09.2021;2;2;;BSM;2;4;SP;0;33;983;760;73;0.30;461.4;04.mai;0.10;03.jul;jan.97;244;jun.58;46.0;0.04
203381;25;07.06.2021;13.09.2021;2;2;;BSM;3;1;C;0;36;872;753;51;0.22;166.7;01.jul;0.07;feb.48;0.27;73;mai.98;78.7;0.03
203382;26;07.06.2021;13.09.2021;2;2;;BSM;3;1;M;0;41;698;754;42;0.29;269.1;01.jul;0.13;02.feb;0.79;272;10.jul;101.8;0.05
203383;27;07.06.2021;13.09.2021;2;2;;BSM;3;1;SP;0;38;532;752;96;0.30;910.5;01.feb;0.05;jan.26;0.74;19;sep.56;103.5;0.05
203384;28;07.06.2021;13.09.2021;2;2;;BSM;3;2;C;1;31;743;754;43;0.09;98.7;01.jul;0.11;mai.48;0.10;423;3.00;42.0;0.02
203385;29;07.06.2021;13.09.2021;2;2;;BSM;3;2;M;13;40;852;755;67;0.14;08.jun;01.mai;0.12;sep.93;0.44;268;jan.99;85.9;0.04
203386;30;07.06.2021;13.09.2021;2;2;;BSM;3;2;SP;0;11;929;750;73;0.18;69.0;03.feb;0.15;8.00;0.00;445;0.46;26.jul;0.00
203387;31;07.06.2021;13.09.2021;2;2;;BSM;3;3;C;0;26;484;748;10;0.15;116.3;0.7;0.16;jun.77;0.00;455;jan.50;74.9;0.06
203388;32;07.06.2021;13.09.2021;2;2;;BSM;3;3;M;0;24;716;753;72;0.42;41.4;0.9;0.18;jun.64;0.99;305;jan.21;98.7;0.06
203389;33;07.06.2021;13.09.2021;2;2;;BSM;3;3;SP;0;29;734;752;66;0.28;572.0;0.9;0.14;jul.46;0.86;265;mar.28;107.1;0.06
203390;34;07.06.2021;13.09.2021;2;2;;BSM;3;4;C;0;27;476;745;14;0.11;640.0;0.8;0.06;jun.74;0.16;99;06.mai;156.1;0.09
203391;35;07.06.2021;13.09.2021;2;2;;BSM;3;4;M;0;22;773;749;62;0.15;372.8;01.feb;0.05;jul.91;0.02;331;jan.21;86.5;0.06
203392;36;07.06.2021;13.09.2021;2;2;rift in one cation probe;BSM;3;4;SP;0;18;780;759;67;0.16;118.0;01.jan;0.08;jun.98;0.31;490;jan.99;97.8;0.07
