Date;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-13;2021-09-15;2021-09-15;2021-09-15;2021-09-15;2021-09-15;2021-09-15;2021-09-15;2021-09-15;2021-09-15;2021-09-15;2021-09-15;2021-09-15;2021-09-15;2021-09-15;2021-09-15;2021-09-15;2021-09-15;2021-09-15;2021-09-15;2021-09-15;2021-09-15;2021-09-15;2021-09-15;2021-09-15;2021-09-15;2021-09-15;2021-09-15;2021-09-15;2021-09-15;2021-09-15;2021-09-15;2021-09-15;2020-06-09;2020-06-09;2020-06-09;2020-06-09;2020-06-09;2020-06-09;2020-06-09;2020-06-09;2020-06-09;2020-06-09;2020-06-09;2020-06-09;2020-06-09;2020-06-09;2020-06-09;2020-06-09;2020-06-09;2020-06-09;2020-06-09;2020-06-09;2020-06-09;2020-06-09;2020-06-09;2020-06-09;2020-06-10;2020-06-10;2020-06-10;2020-06-10;2020-06-10;2020-06-10;2020-06-10;2020-06-10;2020-06-10;2020-06-10;2020-06-10;2020-06-10;2020-06-10;2020-06-10;2020-06-10;2020-06-10;2020-06-11;2020-06-11;2020-06-11;2020-06-11;2020-06-11;2020-06-11;2020-06-11;2020-06-11;2020-06-11;2020-06-11;2020-06-11;2020-06-11;2020-06-11;2020-06-11;2020-06-11;2020-06-11;2020-06-11;2020-06-11;2020-06-11;2020-06-11;2020-06-11;2020-06-11;2020-06-11;2020-06-11;2020-06-11;2020-06-11;2020-06-11;2020-06-11;2020-06-11;2020-06-11;2020-06-11;2020-06-11;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2021-06-08;2022-09-20;2022-09-20;2022-09-20;2022-09-20;2022-09-20;2022-09-20;2022-09-20;2022-09-20;2022-09-20;2022-09-20;2022-09-20;2022-09-20;2022-09-20;2022-09-20;2022-09-20;2022-09-20;2022-09-20;2022-09-20;2022-09-20;2022-09-20;2022-09-20;2022-09-20;2022-09-20;2022-09-20;2022-09-20;2022-09-20;2022-09-20;2022-09-20;2022-09-20;2022-09-20;2022-09-20;2022-09-20;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-15;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2022-09-14;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-07;2023-09-13;2023-09-13;2023-09-13;2023-09-13;2023-09-13;2023-09-13;2023-09-13;2023-09-13;2023-09-13;2023-09-13;2023-09-05;2023-09-05;2023-09-05;2023-09-05;2023-09-05;2023-09-05;2023-09-05;2023-09-05;2023-09-05;2023-09-05
Localition;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;BSM;HM;HM;HM;HM;HM;HM;HM;HM;HM;HM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM;VSM
Sublocation;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;Ref1;Ref1;Ref1;Ref1;Ref1;Ref2;Ref2;Ref2;Ref2;Ref2;Ref1;Ref1;Ref1;Ref1;Ref1;Ref2;Ref2;Ref2;Ref2;Ref2;Ref1;Ref1;Ref1;Ref1;Ref1;Ref2;Ref2;Ref2;Ref2;Ref2
Block;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;2;2;2;2;1;1;1;1;3;3;3;3;4;4;4;4;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;1;1;1;2;2;2;3;3;3;4;4;4;1;1;1;2;2;2;3;3;3;4;4;4;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;3;3;3;3;2;2;2;2;4;4;4;4;3;3;3;3;2;2;2;2;1;1;1;1;4;4;4;4;3;3;3;3;2;2;2;2;1;1;1;1;4;4;4;4;1;1;1;1;1;2;4;5;3;1;2;3;4;5;1;2;3;4;5;1;2;3;4;5;1;2;3;4;5;1;2;3;4;5
Registered_by;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"MF; LIL";"MF; LIL";"MF; LIL";"MF; LIL";"MF; LIL";"MF; LIL";"MF; LIL";"MF; LIL";"MF; LIL";"MF; LIL";"MF; LIL";"MF; LIL";"MF; LIL";"MF; LIL";"MF; LIL";"MF; LIL";"MF; LIL";"MF; LIL";"MF; LIL";"MF; LIL";"MF; LIL";"MF; LIL";"MF; LIL";"MF; LIL";"MF; LIL";"MF; LIL";"MF; LIL";"MF; LIL";"MF; LIL";"MF; LIL";"MF; LIL";"MF; LIL";"LML; MOK";"LML; MOK";"LML; MOK";"LML; MOK";"LML; MOK";"LML; MOK";"LML; MOK";"LML; MOK";"LML; MOK";"LML; MOK";"LML; MOK";"LML; MOK";"LML; MOK";"LML; MOK";"LML; MOK";"LML; MOK";MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MOK;MF;MF;FB, ACM;FB, ACM;MF;MF;FB, ACM;FB, ACM;MF;MF;FB, ACM;FB, ACM;MF;MF;FB, ACM;FB, ACM;MF;MF;FB, ACM;FB, ACM;MF;MF;FB, ACM;FB, ACM;MF;MF;FB, ACM;FB, ACM;MF;MF;FB, ACM;FB, ACM;MF;MF;FB, ACM;FB, ACM;MF;MF;FB, ACM;FB, ACM;MF;MF;FB, ACM;FB, ACM;FB, ACM, MOK;FB, ACM;FB, ACM;FB, ACM;MF, MOK;FB, ACM;MF, MOK;MF, MOK;FB, ACM;MF, MOK;MF, MOK;MF, MOK;MF, MOK;MF, MOK;MOK;MOK;MOK;MOK;MOK;MF, MOK;MF, MOK;MF, MOK;MF, MOK;MF, MOK;MF, MOK;MF, MOK;MF, MOK;MF, MOK;MF, MOK;MF, MOK;MF, MOK;MF, MOK;MF, MOK;MF, MOK
Treatment;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;C;M;S1;C;M;S1;C;M;S1;C;M;S1;C;M;S1;C;M;S1;C;M;S1;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;C;M;S1;S2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Roughness;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;4;2;3;1;2;2;4;3;2;4;5;4;4;3;3;4;4;3;4;3;3;3;2;5;4;2;2;2;4;2;3;2;3;1;2;2;2;1;2;3;3;3;3;4;3;3;3;2;3;3;3;3;3;3;2;3;4;1;4;5;3;3;3;1;2;4;1;1;1;1;6;4;3;2;5;3;4;6;3;5;4;3;3;3;3;2;4;2;2;2;;2;2;3;1;1;1;2;2;2;2;2;2;2;2;3;3;3;3;3;2;2;2;2;2;3;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;2;2;3;2;3;3;2;2;2;1;1;1;4;4;3;2;2;2;2;2;2;2
Slope;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;1;1;3;1;1;1;2;1;1;1;2;2;1;1;1;1;2;2;1;1;2;1;1;3;1;2;1;1;3;2;1;1;1;3;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;1;1;1;3;2;1;1;1;2;1;1;1;2;1;;1;2;1;1;1;1;1;1;2;2;1;1;1;2;1;2;2;2;3;1;1;2;2;1;2;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;1;1;2;1;1;2;2;1;2;2;1;1;2;1;1;1;1;1;2;1;4;4;3;1;3
Sphagnum;<1;;35;30;;<1;40;70;1;;35;25;;;30;30;;<1;90;80;;1;60;85;1;;85;85;<1;10;80;45;;2;40;25;;;30;30;;;25;30;2;1;45;35;<1;<1;12;10;<1;1;10;15;1;<1;10;7;1;1;12;8;10;5;45;30;2;;20;25;2;7;10;45;1;5;10;12;;;;;;;;;1;;;;;;;;;;<1;;;;<1;<1;;<1;;;<1;<1;;;   ;;;;;;;<1;<1;<1;<1;<1;<1;<1;<1;<1;<1;1;1;1;<1;<1;1;1;3;1;8;1;<1;;;<1;<1;1;;1;1;5;1;<1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;<1;0;0;<1;0;0;0;0;0;0;0;2;0;<1;0;0;<1;<1;0;<1;<1;<1;0;0;0;0;<1;3;40;35;<1;1;15;10;1;1;45;20;1;1;35;30;9;3;55;75;3;;50;;7;10;25;85;<1;7;10;30;;;75;65;;<1;75;95;<1;;35;30;;;20;50;;<1;95;85;;1;80;95;<1;<1;90;90;;30;95;70;<1;2;70;60;;;60;60;;1;20;35;2;<1;55;50;;<1;45;70;;;25;50;;<1;70;55;<1;1;35;40;<1;<1;75;55;<1;2;70;60;5;;55;65;<1;<1;65;70;;10;60;70;1;4;50;60;2;1;50;50;4;3;50;50;1;10;97;94;<1;3;97;98;<1;3;83;91;;1;76;77;;;75;81;<1;<1;90;85;5;;87;93;10;15;92;95;7;20;76;75;2;25;92;97;13;8;97;95;1;2;83;85;75;98;60;35;15;85;95;100;60;80;95;30;65;90;90;90;97;60;40;90;40;95;98;100;100;75;10;35;65;55
Dead_sph;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;10;;;2;2;;;;4;;;;;;;;;;;5;1;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;<1;2;1;;;;;;;;1;1;<1;<1;<1;;;;;;;;;;1;;1;;;;;;;10;;<1;<1;;;;;;;;;;;;;;;;;;;20;15;5;5;2;;;;;;;3;2;1;5;3;35;1;1;5;5;5;2;5;2;10;2;4;10;15;5;10;5;10;10;0;;;<1;2;;;;;;;;;;;;;;;;;<1;;;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;1;6;;;<1;<1;;<1;;;;;;;;;;;;15;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;1;;2;;;;;;;;4;12;;5;;;;;;2;2;;;2;3;;;;;;;;2;17;;;2;;1;2;;;;;;;;;;;;1;;1;;;;;;;;0;0;0;0;0;1;0;0;0;0
Polytrichum;;;;5;<1;<1;<1;;<1;3;;<1;;;;<1;<1;;;;<1;;;;1;;<1;;;;<1;<1;<1;<1;<1;<1;;1;<1;<1;;;;2;<1;;<1;1;1;1;;;1;;;;2;;4;2;<1;1;4;5;2;5;;1;5;3;4;12;1;;10;1;<1;3;1;2;;;;;;<1;;<1;;;;;;;;;;<1;<1;;;<1;;<1;;;;<1;<1;<1;;;;<1;;<1;;2;<1;<1;;<1;;;<1;;2;<1;1;<1;<1;1;<1;<1;<1;;2;2;;<1;2;1;1;1;1;;4;<1;;3;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;<1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;<1;0;1;<1;1;0;0;<1;0;0;<1;<1;0;3;<1;2;<1;2;5;2;<1;25;6;35;30;4;10;25;40;2;5;<1;2;5;6;6;10;<1;<1;25;2;<1;3;1;6;;;<1;8;<1;2;<1;<1;<1;6;<1;1;;;<1;1;2;;;;1;;<1;;<1;;;<1;;<1;<1;<1;2;1;<1;<1;;2;;<1;;<1;2;1;<1;<1;<1;<1;;<1;;<1;;;;<1;<1;;<1;<1;;;<1;<1;;<1;1;<1;<1;;1;<1;;;;;<1;<1;<1;;;<1;<1;<1;<1;1;4;;<1;3;<1;<1;;1;<1;<1;;;2;;;;3;<1;;;<1;<1;;;<1;;;;;;;<1;;2;;8;<1;;<1;<1;1;<1;;6;8;;;1;<1;;;;<1;<1;;1;3;<1;;;;;;;;;0;;;<1;;;;;;;;;1;0;0;0;0;0;1;0;0;0
