"","...1","t_year","year","Date","Location","Sublocation","Block","Treatment","Treatment_ID","Subplot","Microtopography","Total","Notat","Sph_sp","cover","Proportion","cover_no0","cover_int","cover_no1"
"1",1,2,2021,2021-09-13,"HM",1,1,"S","S1",1,"1",55,NA,"Sph ang",30,0.545454545454545,30,30,30
"2",2,2,2021,2021-09-13,"HM",1,1,"S","S1",1,"1",55,NA,"Sph cap",4,0.0727272727272727,4,4,4
"3",3,2,2021,2021-09-13,"HM",1,1,"S","S1",1,"1",55,NA,"Sph ten",15,0.272727272727273,15,15,15
"4",4,2,2021,2021-09-13,"HM",1,1,"S","S1",1,"1",55,NA,"Sph pap",2,0.0363636363636364,2,2,2
"5",5,2,2021,2021-09-13,"HM",1,1,"S","S1",1,"1",55,NA,"Sph div",4,0.0727272727272727,4,4,4
"6",6,2,2021,2021-09-13,"HM",1,1,"S","S1",1,"1",55,NA,"Sph rus",0,0,0.01,0,0
"7",7,2,2021,2021-09-13,"HM",1,1,"S","S1",1,"1",55,NA,"Sph com",0,0,0.01,0,0
"8",8,2,2021,2021-09-13,"HM",1,1,"S","S1",1,"1",55,NA,"Sph maj",0,0,0.01,0,0
"9",9,2,2021,2021-09-13,"HM",1,1,"S","S1",1,"1",55,NA,"Sph bal",0,0,0.01,0,0
"10",10,2,2021,2021-09-13,"HM",1,1,"S","S1",1,"1",55,NA,"Sph rip",0,0,0.01,0,0
"11",11,2,2021,2021-09-13,"HM",1,1,"S","S1",1,"1",55,NA,"Sph cf",0,0,0.01,0,0
"12",12,2,2021,2021-09-13,"HM",1,1,"S","S1",2,"1",23,NA,"Sph ang",5,0.217391304347826,5,5,5
"13",13,2,2021,2021-09-13,"HM",1,1,"S","S1",2,"1",23,NA,"Sph cap",1,0.0434782608695652,1,1,1
"14",14,2,2021,2021-09-13,"HM",1,1,"S","S1",2,"1",23,NA,"Sph ten",15,0.652173913043478,15,15,15
"15",15,2,2021,2021-09-13,"HM",1,1,"S","S1",2,"1",23,NA,"Sph pap",2,0.0869565217391304,2,2,2
"16",16,2,2021,2021-09-13,"HM",1,1,"S","S1",2,"1",23,NA,"Sph div",0,0,0.01,0,0
"17",17,2,2021,2021-09-13,"HM",1,1,"S","S1",2,"1",23,NA,"Sph rus",0,0,0.01,0,0
"18",18,2,2021,2021-09-13,"HM",1,1,"S","S1",2,"1",23,NA,"Sph com",0,0,0.01,0,0
"19",19,2,2021,2021-09-13,"HM",1,1,"S","S1",2,"1",23,NA,"Sph maj",0,0,0.01,0,0
"20",20,2,2021,2021-09-13,"HM",1,1,"S","S1",2,"1",23,NA,"Sph bal",0,0,0.01,0,0
"21",21,2,2021,2021-09-13,"HM",1,1,"S","S1",2,"1",23,NA,"Sph rip",0,0,0.01,0,0
"22",22,2,2021,2021-09-13,"HM",1,1,"S","S1",2,"1",23,NA,"Sph cf",0,0,0.01,0,0
"23",23,2,2021,2021-09-13,"HM",1,1,"S","S1",3,"2",33,NA,"Sph ang",5,0.151515151515152,5,5,5
"24",24,2,2021,2021-09-13,"HM",1,1,"S","S1",3,"2",33,NA,"Sph cap",3,0.0909090909090909,3,3,3
"25",25,2,2021,2021-09-13,"HM",1,1,"S","S1",3,"2",33,NA,"Sph ten",25,0.757575757575758,25,25,25
"26",26,2,2021,2021-09-13,"HM",1,1,"S","S1",3,"2",33,NA,"Sph pap",0,0,0.01,0,0
"27",27,2,2021,2021-09-13,"HM",1,1,"S","S1",3,"2",33,NA,"Sph div",0,0,0.01,0,0
"28",28,2,2021,2021-09-13,"HM",1,1,"S","S1",3,"2",33,NA,"Sph rus",0,0,0.01,0,0
"29",29,2,2021,2021-09-13,"HM",1,1,"S","S1",3,"2",33,NA,"Sph com",0,0,0.01,0,0
"30",30,2,2021,2021-09-13,"HM",1,1,"S","S1",3,"2",33,NA,"Sph maj",0,0,0.01,0,0
"31",31,2,2021,2021-09-13,"HM",1,1,"S","S1",3,"2",33,NA,"Sph bal",0,0,0.01,0,0
