"","t_year","year","Date","Location","Sublocation","Block","Treatment","Treatment_ID","Subplot","Microtopography","Sph_ang","Sph_cap","Sph_ten","Sph_pap","Sph_div","Sph_rus","Sph_com","Sph_maj","Sph_bal","Sph_fus","Sph_rip","Sph_cf","Total","Notat"
"1","2","2021",2021-09-13,"HM","1","1","S","S1","1","1",30,4,15,2,4,0,0,0,0,0,0,0,55,NA
"2","2","2021",2021-09-13,"HM","1","1","S","S1","2","1",5,1,15,2,0,0,0,0,0,0,0,0,23,NA
"3","2","2021",2021-09-13,"HM","1","1","S","S1","3","2",5,3,25,0,0,0,0,0,0,0,0,0,33,NA
"4","2","2021",2021-09-13,"HM","1","1","S","S1","4","3",10,5,10,3,0,0,0,0,0,0,0,0,28,NA
"5","2","2021",2021-09-13,"HM","1","1","S","S2","1","3",7,7,40,2,0,0,0,0,0,0,0,0,56,NA
"6","2","2021",2021-09-13,"HM","1","1","S","S2","2","3",10,2,15,3,0,0,0,0,0,0,0,0,30,NA
"7","2","2021",2021-09-13,"HM","1","1","S","S2","3","4",8,3,12,2,0,0,0,0,0,0,0,0,25,NA
"8","2","2021",2021-09-13,"HM","1","1","S","S2","4","3",10,4,10,2,0,0,0,0,0,0,0,0,26,NA
"9","2","2021",2021-09-13,"HM","1","2","S","S1","1","2",3,5,15,10,0,0,0,0,0,0,0,0,33,NA
"10","2","2021",2021-09-13,"HM","1","2","S","S1","2","4",10,6,4,2,0,0,0,0,0,0,0,0,22,NA
"11","2","2021",2021-09-13,"HM","1","2","S","S1","3","3",5,2,10,10,0,0,0,0,0,0,0,0,27,NA
"12","2","2021",2021-09-13,"HM","1","2","S","S1","4","2",15,6,5,8,0,0,0,0,0,0,0,0,34,NA
"13","2","2021",2021-09-13,"HM","1","2","S","S2","1","2",5,10,10,25,0,0,0,0,0,0,0,0,50,NA
"14","2","2021",2021-09-13,"HM","1","2","S","S2","2","2",10,5,20,4,5,0,0,0,0,0,0,0,44,NA
"15","2","2021",2021-09-13,"HM","1","2","S","S2","3","1",25,10,15,20,0,0,0,0,0,0,0,0,80,NA
"16","2","2021",2021-09-13,"HM","1","2","S","S2","4","2",20,20,15,15,0,0,0,0,0,0,0,0,70,NA
"17","2","2021",2021-09-13,"HM","1","3","S","S1","1","4",5,8,8,0,0,0,0,0,0,0,0,0,21,NA
"18","2","2021",2021-09-13,"HM","1","3","S","S1","2","3",6,10,4,0,0,0,0,0,0,0,0,0,20,NA
"19","2","2021",2021-09-13,"HM","1","3","S","S1","3","3",8,2,14,1,0,0,0,0,0,0,0,0,25,NA
"20","2","2021",2021-09-13,"HM","1","3","S","S1","4","4",10,2,2,4,0,0,0,0,0,0,0,0,18,NA
"21","2","2021",2021-09-13,"HM","1","3","S","S2","1","4",8,0,4,0,0,0,0,0,0,0,0,0,11,NA
"22","2","2021",2021-09-13,"HM","1","3","S","S2","2","4",2,5,10,0,0,0,0,0,0,0,0,0,17,NA
"23","2","2021",2021-09-13,"HM","1","3","S","S2","3","4",3,6,10,3,0,0,0,0,0,0,0,0,22,NA
"24","2","2021",2021-09-13,"HM","1","3","S","S2","4","3",10,10,8,0,0,0,0,0,0,0,0,0,28,NA
"25","2","2021",2021-09-13,"HM","1","4","S","S1","1","5",6,2,4,0,0,0,0,0,0,0,0,0,12,NA
"26","2","2021",2021-09-13,"HM","1","4","S","S1","2","3",10,0,10,2,0,0,0,0,0,0,0,0,22,NA
"27","2","2021",2021-09-13,"HM","1","4","S","S1","3","6",4,2,2,0,0,0,0,0,0,0,0,0,8,NA
"28","2","2021",2021-09-13,"HM","1","4","S","S1","4","2",8,5,8,1,2,0,0,0,0,0,0,0,24,NA
"29","2","2021",2021-09-13,"HM","1","4","S","S2","1","3",35,4,2,0,0,0,0,0,0,0,0,0,41,NA
"30","2","2021",2021-09-13,"HM","1","4","S","S2","2","4",15,4,8,0,0,0,0,0,0,0,0,0,27,NA
"31","2","2021",2021-09-13,"HM","1","4","S","S2","3","3",15,2,5,3,1,0,0,0,0,0,0,0,26,NA
"32","2","2021",2021-09-13,"HM","1","4","S","S2","4","3",3,3,20,2,0,0,0,0,0,0,0,0,28,NA
"33","2","2021",2021-09-13,"HM","2","1","S","S1","1","1",70,4,15,1,0,0,0,0,0,0,0,0,90,NA
"34","2","2021",2021-09-13,"HM","2","1","S","S1","2","3",70,0,20,1,0,0,0,0,0,0,0,0,91,NA
"35","2","2021",2021-09-13,"HM","2","1","S","S1","3","2",65,0,25,2,0,0,0,0,0,0,0,0,92,NA
"36","2","2021",2021-09-13,"HM","2","1","S","S1","4","1",60,1,20,0,0,0,0,0,0,0,0,0,81,NA
"37","2","2021",2021-09-13,"HM","2","1","S","S2","1","2",30,1,60,0,0,0,0,0,0,0,0,0,91,NA
"38","2","2021",2021-09-13,"HM","2","1","S","S2","2","2",75,3,5,12,0,0,0,0,0,0,0,0,95,NA
"39","2","2021",2021-09-13,"HM","2","1","S","S2","3","3",40,10,15,10,0,0,0,0,0,0,0,0,85,NA
"40","2","2021",2021-09-13,"HM","2","1","S","S2","4","1",80,2,5,5,0,0,0,0,0,0,0,0,92,NA
"41","2","2021",2021-09-13,"HM","2","2","S","S1","1","2",40,25,5,8,0,0,0,0,0,0,0,0,78,NA
"42","2","2021",2021-09-13,"HM","2","2","S","S1","2","5",25,5,15,8,0,0,0,0,0,0,0,0,53,NA
"43","2","2021",2021-09-13,"HM","2","2","S","S1","3","5",30,10,8,10,0,0,0,0,0,0,0,0,58,NA
"44","2","2021",2021-09-13,"HM","2","2","S","S1","4","4",20,15,10,5,0,0,0,0,0,0,0,0,50,NA
"45","2","2021",2021-09-13,"HM","2","2","S","S2","1","2",40,5,10,3,0,0,0,0,0,0,0,0,58,NA
"46","2","2021",2021-09-13,"HM","2","2","S","S2","2","1",30,10,10,30,0,0,0,0,0,0,0,0,80,NA
"47","2","2021",2021-09-13,"HM","2","2","S","S2","3","2",50,10,15,2,0,0,0,0,0,0,0,0,77,NA
"48","2","2021",2021-09-13,"HM","2","2","S","S2","4","3",40,15,10,20,0,0,0,0,0,0,0,0,85,NA
"49","2","2021",2021-09-13,"HM","2","3","S","S1","1","2",55,5,15,3,0,0,0,0,0,0,0,0,78,"sm<e5>rute 10"
"50","2","2021",2021-09-13,"HM","2","3","S","S1","2","3",40,3,25,4,0,0,0,0,0,0,0,0,75,NA
"51","2","2021",2021-09-13,"HM","2","3","S","S1","3","2",45,5,20,0,0,0,0,0,0,0,0,0,70,NA
"52","2","2021",2021-09-13,"HM","2","3","S","S1","4","2",30,2,20,1,0,0,0,0,0,0,0,0,53,NA
"53","2","2021",2021-09-13,"HM","2","3","S","S2","1","1",50,10,20,10,0,0,0,0,0,0,0,0,90,NA
"54","2","2021",2021-09-13,"HM","2","3","S","S2","2","2",60,20,10,2,0,0,0,0,0,0,0,0,92,NA
"55","2","2021",2021-09-13,"HM","2","3","S","S2","3","3",60,5,10,5,0,0,0,0,0,0,0,0,80,"sm<e5>rute 6"
"56","2","2021",2021-09-13,"HM","2","3","S","S2","4","2",30,2,30,5,0,0,0,0,0,0,0,0,67,NA
"57","2","2021",2021-09-13,"HM","2","4","S","S1","1","2",25,0,15,1,0,0,0,0,0,0,0,0,41,NA
