"","t_year","year","Date","Location","Sublocation","Block","Treatment","Treatment_ID","Subplot","Microtopography","Total","Notat","Sph_sp","cover","Proportion","cover_no0","cover_int","cover_no1"
"1","2","2021",2021-09-13,"HM","1","1","S","S1","1","1",55,NA,"Sph ang",30,0.545454545454545,30,30,30
"2","2","2021",2021-09-13,"HM","1","1","S","S1","1","1",55,NA,"Sph cap",4,0.0727272727272727,4,4,4
"3","2","2021",2021-09-13,"HM","1","1","S","S1","1","1",55,NA,"Sph ten",15,0.272727272727273,15,15,15
"4","2","2021",2021-09-13,"HM","1","1","S","S1","1","1",55,NA,"Sph pap",2,0.0363636363636364,2,2,2
"5","2","2021",2021-09-13,"HM","1","1","S","S1","1","1",55,NA,"Sph div",4,0.0727272727272727,4,4,4
"6","2","2021",2021-09-13,"HM","1","1","S","S1","1","1",55,NA,"Sph rus",0,0,0.01,0,0
"7","2","2021",2021-09-13,"HM","1","1","S","S1","1","1",55,NA,"Sph com",0,0,0.01,0,0
"8","2","2021",2021-09-13,"HM","1","1","S","S1","1","1",55,NA,"Sph maj",0,0,0.01,0,0
"9","2","2021",2021-09-13,"HM","1","1","S","S1","1","1",55,NA,"Sph bal",0,0,0.01,0,0
"10","2","2021",2021-09-13,"HM","1","1","S","S1","1","1",55,NA,"Sph rip",0,0,0.01,0,0
"11","2","2021",2021-09-13,"HM","1","1","S","S1","1","1",55,NA,"Sph cf",0,0,0.01,0,0
"12","2","2021",2021-09-13,"HM","1","1","S","S1","2","1",23,NA,"Sph ang",5,0.217391304347826,5,5,5
"13","2","2021",2021-09-13,"HM","1","1","S","S1","2","1",23,NA,"Sph cap",1,0.0434782608695652,1,1,1
"14","2","2021",2021-09-13,"HM","1","1","S","S1","2","1",23,NA,"Sph ten",15,0.652173913043478,15,15,15
"15","2","2021",2021-09-13,"HM","1","1","S","S1","2","1",23,NA,"Sph pap",2,0.0869565217391304,2,2,2
"16","2","2021",2021-09-13,"HM","1","1","S","S1","2","1",23,NA,"Sph div",0,0,0.01,0,0
"17","2","2021",2021-09-13,"HM","1","1","S","S1","2","1",23,NA,"Sph rus",0,0,0.01,0,0
"18","2","2021",2021-09-13,"HM","1","1","S","S1","2","1",23,NA,"Sph com",0,0,0.01,0,0
"19","2","2021",2021-09-13,"HM","1","1","S","S1","2","1",23,NA,"Sph maj",0,0,0.01,0,0
"20","2","2021",2021-09-13,"HM","1","1","S","S1","2","1",23,NA,"Sph bal",0,0,0.01,0,0
"21","2","2021",2021-09-13,"HM","1","1","S","S1","2","1",23,NA,"Sph rip",0,0,0.01,0,0
"22","2","2021",2021-09-13,"HM","1","1","S","S1","2","1",23,NA,"Sph cf",0,0,0.01,0,0
"23","2","2021",2021-09-13,"HM","1","1","S","S1","3","2",33,NA,"Sph ang",5,0.151515151515152,5,5,5
"24","2","2021",2021-09-13,"HM","1","1","S","S1","3","2",33,NA,"Sph cap",3,0.0909090909090909,3,3,3
"25","2","2021",2021-09-13,"HM","1","1","S","S1","3","2",33,NA,"Sph ten",25,0.757575757575758,25,25,25
"26","2","2021",2021-09-13,"HM","1","1","S","S1","3","2",33,NA,"Sph pap",0,0,0.01,0,0
"27","2","2021",2021-09-13,"HM","1","1","S","S1","3","2",33,NA,"Sph div",0,0,0.01,0,0
"28","2","2021",2021-09-13,"HM","1","1","S","S1","3","2",33,NA,"Sph rus",0,0,0.01,0,0
"29","2","2021",2021-09-13,"HM","1","1","S","S1","3","2",33,NA,"Sph com",0,0,0.01,0,0
"30","2","2021",2021-09-13,"HM","1","1","S","S1","3","2",33,NA,"Sph maj",0,0,0.01,0,0
"31","2","2021",2021-09-13,"HM","1","1","S","S1","3","2",33,NA,"Sph bal",0,0,0.01,0,0
"32","2","2021",2021-09-13,"HM","1","1","S","S1","3","2",33,NA,"Sph rip",0,0,0.01,0,0
"33","2","2021",2021-09-13,"HM","1","1","S","S1","3","2",33,NA,"Sph cf",0,0,0.01,0,0
"34","2","2021",2021-09-13,"HM","1","1","S","S1","4","3",28,NA,"Sph ang",10,0.357142857142857,10,10,10
"35","2","2021",2021-09-13,"HM","1","1","S","S1","4","3",28,NA,"Sph cap",5,0.178571428571429,5,5,5
"36","2","2021",2021-09-13,"HM","1","1","S","S1","4","3",28,NA,"Sph ten",10,0.357142857142857,10,10,10
"37","2","2021",2021-09-13,"HM","1","1","S","S1","4","3",28,NA,"Sph pap",3,0.107142857142857,3,3,3
"38","2","2021",2021-09-13,"HM","1","1","S","S1","4","3",28,NA,"Sph div",0,0,0.01,0,0
"39","2","2021",2021-09-13,"HM","1","1","S","S1","4","3",28,NA,"Sph rus",0,0,0.01,0,0
"40","2","2021",2021-09-13,"HM","1","1","S","S1","4","3",28,NA,"Sph com",0,0,0.01,0,0
"41","2","2021",2021-09-13,"HM","1","1","S","S1","4","3",28,NA,"Sph maj",0,0,0.01,0,0
"42","2","2021",2021-09-13,"HM","1","1","S","S1","4","3",28,NA,"Sph bal",0,0,0.01,0,0
"43","2","2021",2021-09-13,"HM","1","1","S","S1","4","3",28,NA,"Sph rip",0,0,0.01,0,0
"44","2","2021",2021-09-13,"HM","1","1","S","S1","4","3",28,NA,"Sph cf",0,0,0.01,0,0
"45","2","2021",2021-09-13,"HM","1","1","S","S2","1","3",56,NA,"Sph ang",7,0.125,7,7,7
"46","2","2021",2021-09-13,"HM","1","1","S","S2","1","3",56,NA,"Sph cap",7,0.125,7,7,7
"47","2","2021",2021-09-13,"HM","1","1","S","S2","1","3",56,NA,"Sph ten",40,0.714285714285714,40,40,40
"48","2","2021",2021-09-13,"HM","1","1","S","S2","1","3",56,NA,"Sph pap",2,0.0357142857142857,2,2,2
"49","2","2021",2021-09-13,"HM","1","1","S","S2","1","3",56,NA,"Sph div",0,0,0.01,0,0
"50","2","2021",2021-09-13,"HM","1","1","S","S2","1","3",56,NA,"Sph rus",0,0,0.01,0,0
"51","2","2021",2021-09-13,"HM","1","1","S","S2","1","3",56,NA,"Sph com",0,0,0.01,0,0
"52","2","2021",2021-09-13,"HM","1","1","S","S2","1","3",56,NA,"Sph maj",0,0,0.01,0,0
"53","2","2021",2021-09-13,"HM","1","1","S","S2","1","3",56,NA,"Sph bal",0,0,0.01,0,0
"54","2","2021",2021-09-13,"HM","1","1","S","S2","1","3",56,NA,"Sph rip",0,0,0.01,0,0
"55","2","2021",2021-09-13,"HM","1","1","S","S2","1","3",56,NA,"Sph cf",0,0,0.01,0,0
"56","2","2021",2021-09-13,"HM","1","1","S","S2","2","3",30,NA,"Sph ang",10,0.333333333333333,10,10,10
"57","2","2021",2021-09-13,"HM","1","1","S","S2","2","3",30,NA,"Sph cap",2,0.0666666666666667,2,2,2
"58","2","2021",2021-09-13,"HM","1","1","S","S2","2","3",30,NA,"Sph ten",15,0.5,15,15,15
"59","2","2021",2021-09-13,"HM","1","1","S","S2","2","3",30,NA,"Sph pap",3,0.1,3,3,3
"60","2","2021",2021-09-13,"HM","1","1","S","S2","2","3",30,NA,"Sph div",0,0,0.01,0,0
"61","2","2021",2021-09-13,"HM","1","1","S","S2","2","3",30,NA,"Sph rus",0,0,0.01,0,0
"62","2","2021",2021-09-13,"HM","1","1","S","S2","2","3",30,NA,"Sph com",0,0,0.01,0,0
"63","2","2021",2021-09-13,"HM","1","1","S","S2","2","3",30,NA,"Sph maj",0,0,0.01,0,0
"64","2","2021",2021-09-13,"HM","1","1","S","S2","2","3",30,NA,"Sph bal",0,0,0.01,0,0
"65","2","2021",2021-09-13,"HM","1","1","S","S2","2","3",30,NA,"Sph rip",0,0,0.01,0,0
"66","2","2021",2021-09-13,"HM","1","1","S","S2","2","3",30,NA,"Sph cf",0,0,0.01,0,0
"67","2","2021",2021-09-13,"HM","1","1","S","S2","3","4",25,NA,"Sph ang",8,0.32,8,8,8
"68","2","2021",2021-09-13,"HM","1","1","S","S2","3","4",25,NA,"Sph cap",3,0.12,3,3,3
"69","2","2021",2021-09-13,"HM","1","1","S","S2","3","4",25,NA,"Sph ten",12,0.48,12,12,12
"70","2","2021",2021-09-13,"HM","1","1","S","S2","3","4",25,NA,"Sph pap",2,0.08,2,2,2
"71","2","2021",2021-09-13,"HM","1","1","S","S2","3","4",25,NA,"Sph div",0,0,0.01,0,0
"72","2","2021",2021-09-13,"HM","1","1","S","S2","3","4",25,NA,"Sph rus",0,0,0.01,0,0
"73","2","2021",2021-09-13,"HM","1","1","S","S2","3","4",25,NA,"Sph com",0,0,0.01,0,0
"74","2","2021",2021-09-13,"HM","1","1","S","S2","3","4",25,NA,"Sph maj",0,0,0.01,0,0
"75","2","2021",2021-09-13,"HM","1","1","S","S2","3","4",25,NA,"Sph bal",0,0,0.01,0,0
