Date;Location;Sublocation;Block;Treatment;Subplot;Microtopography;Sph_ang;Sph_cap;Sph_ten;Sph_pap;Sph_div;Sph_rus;Sph_com;Sph_maj;Sph_bal;Sph_fus;Sph_rip;Sph_cf;Total;Notat
13.09.2021;HM;1;1;S1;1;1;30;4;15;2;4;;;;;;;;55;
13.09.2021;HM;1;1;S1;2;1;5;1;15;2;;;;;;;;;23;
13.09.2021;HM;1;1;S1;3;2;5;3;25;0;;;;;;;;;33;
13.09.2021;HM;1;1;S1;4;3;10;5;10;3;;;;;;;;;28;
13.09.2021;HM;1;1;S2;1;3;7;7;40;2;;;;;;;;;56;
13.09.2021;HM;1;1;S2;2;3;10;2;15;3;;;;;;;;;30;
13.09.2021;HM;1;1;S2;3;4;8;3;12;2;;;;;;;;;25;
13.09.2021;HM;1;1;S2;4;3;10;4;10;2;;;;;;;;;26;
13.09.2021;HM;1;2;S1;1;2;3;5;15;10;;;;;;;;;33;
13.09.2021;HM;1;2;S1;2;4;10;6;4;2;;;;;;;;;22;
13.09.2021;HM;1;2;S1;3;3;5;2;10;10;;;;;;;;;27;
13.09.2021;HM;1;2;S1;4;2;15;6;5;8;;;;;;;;;34;
13.09.2021;HM;1;2;S2;1;2;5;10;10;25;;;;;;;;;50;
13.09.2021;HM;1;2;S2;2;2;10;5;20;4;5;;;;;;;;44;
13.09.2021;HM;1;2;S2;3;1;25;10;15;20;;;;;;;;;80;
13.09.2021;HM;1;2;S2;4;2;20;20;15;15;;;;;;;;;70;
13.09.2021;HM;1;3;S1;1;4;5;8;8;0;;;;;;;;;21;
13.09.2021;HM;1;3;S1;2;3;6;10;4;0;;;;;;;;;20;
13.09.2021;HM;1;3;S1;3;3;8;2;14;1;;;;;;;;;25;
13.09.2021;HM;1;3;S1;4;4;10;2;2;4;;;;;;;;;18;
13.09.2021;HM;1;3;S2;1;4;8;0;4;0;;;;;;;;;11;
13.09.2021;HM;1;3;S2;2;4;2;5;10;;;;;;;;;;17;
13.09.2021;HM;1;3;S2;3;4;3;6;10;3;;;;;;;;;22;
13.09.2021;HM;1;3;S2;4;3;10;10;8;0;;;;;;;;;28;
13.09.2021;HM;1;4;S1;1;5;6;2;4;;;;;;;;;;12;
13.09.2021;HM;1;4;S1;2;3;10;0;10;2;;;;;;;;;22;
13.09.2021;HM;1;4;S1;3;6;4;2;2;0;;;;;;;;;8;
13.09.2021;HM;1;4;S1;4;2;8;5;8;1;2;;;;;;;;24;
13.09.2021;HM;1;4;S2;1;3;35;4;2;0;;;;;;;;;41;
13.09.2021;HM;1;4;S2;2;4;15;4;8;0;;;;;;;;;27;
13.09.2021;HM;1;4;S2;3;3;15;2;5;3;1;;;;;;;;26;
13.09.2021;HM;1;4;S2;4;3;3;3;20;2;;;;;;;;;28;
13.09.2021;HM;2;1;S1;1;1;70;4;15;1;;;;;;;;;90;
13.09.2021;HM;2;1;S1;2;3;70;;20;1;;;;;;;;;91;
13.09.2021;HM;2;1;S1;3;2;65;0;25;2;;;;;;;;;92;
13.09.2021;HM;2;1;S1;4;1;60;1;20;0;;;;;;;;;81;
13.09.2021;HM;2;1;S2;1;2;30;1;60;;;;;;;;;;91;
13.09.2021;HM;2;1;S2;2;2;75;3;5;12;;;;;;;;;95;
13.09.2021;HM;2;1;S2;3;3;40;10;15;10;;;;;;;;;85;
13.09.2021;HM;2;1;S2;4;1;80;2;5;5;;;;;;;;;92;
13.09.2021;HM;2;2;S1;1;2;40;25;5;8;;;;;;;;;78;
