Name;Station;Time;Max_temp;Mean_temp;Min_temp;Precipitation
흀jord Ii;SN71780;2019-01-01;7.2;3.1;1.3;30.1
흀jord Ii;SN71780;2019-01-02;3.8;1.8;-0.5;11.4
흀jord Ii;SN71780;2019-01-03;7;5.7;1.2;5.2
흀jord Ii;SN71780;2019-01-04;8;6.8;6.1;47.8
흀jord Ii;SN71780;2019-01-05;6.1;5.5;4.6;2.1
흀jord Ii;SN71780;2019-01-06;7.6;5.9;4.4;9.6
흀jord Ii;SN71780;2019-01-07;4.9;1.6;0.3;6
흀jord Ii;SN71780;2019-01-08;1.2;0.1;-1;2.9
흀jord Ii;SN71780;2019-01-09;1.2;-0.1;-1.8;8.5
흀jord Ii;SN71780;2019-01-10;7.5;4.6;0.2;9.4
흀jord Ii;SN71780;2019-01-11;7.3;2.8;1.7;16.6
흀jord Ii;SN71780;2019-01-12;2.7;0.4;-0.4;11.4
흀jord Ii;SN71780;2019-01-13;2.6;0;-1.8;4.6
흀jord Ii;SN71780;2019-01-14;3.1;0.5;-2.2;13.7
흀jord Ii;SN71780;2019-01-15;0.4;-4.5;-7.3;5.7
흀jord Ii;SN71780;2019-01-16;-5;-7.5;-10.6;0
흀jord Ii;SN71780;2019-01-17;0;-5.6;-12.1;0.7
흀jord Ii;SN71780;2019-01-18;0.4;-1.2;-3.5;11.2
흀jord Ii;SN71780;2019-01-19;0.5;-2.2;-4.9;14.5
흀jord Ii;SN71780;2019-01-20;-1.7;-6.5;-8.6;6.8
흀jord Ii;SN71780;2019-01-21;-4.5;-6.9;-10.4;0.3
흀jord Ii;SN71780;2019-01-22;-2.1;-6.2;-9.4;2.6
흀jord Ii;SN71780;2019-01-23;-6.1;-8.8;-12.1;0
흀jord Ii;SN71780;2019-01-24;-2.7;-4.8;-8.8;0
흀jord Ii;SN71780;2019-01-25;-1.8;-3.3;-4.8;0
흀jord Ii;SN71780;2019-01-26;-2.1;-3.8;-5.2;0
흀jord Ii;SN71780;2019-01-27;-3.9;-5;-5.9;0
흀jord Ii;SN71780;2019-01-28;-2.3;-4;-6;0
흀jord Ii;SN71780;2019-01-29;-1.1;-3.5;-5.1;0
흀jord Ii;SN71780;2019-01-30;-0.9;-4.1;-8.1;0.1
흀jord Ii;SN71780;2019-01-31;0.1;-1.2;-3.7;0.4
흀jord Ii;SN71780;2019-02-01;-0.6;-2.3;-3.1;0
흀jord Ii;SN71780;2019-02-02;-2.6;-5.8;-7;0
흀jord Ii;SN71780;2019-02-03;-5;-6.3;-7.8;0
흀jord Ii;SN71780;2019-02-04;-4.7;-7.4;-9.3;1.8
흀jord Ii;SN71780;2019-02-05;-6.7;-10.5;-14.2;0
흀jord Ii;SN71780;2019-02-06;-0.6;-5.8;-11.7;0
흀jord Ii;SN71780;2019-02-07;3.8;1.6;-2.6;10.8
흀jord Ii;SN71780;2019-02-08;2.5;0.2;-0.9;0
흀jord Ii;SN71780;2019-02-09;3.4;1.4;-2.2;0.2
흀jord Ii;SN71780;2019-02-10;1.8;0.1;-0.7;5.1
흀jord Ii;SN71780;2019-02-11;0.8;-0.4;-3.6;6.4
흀jord Ii;SN71780;2019-02-12;1.3;0.9;-1.3;12.5
흀jord Ii;SN71780;2019-02-13;6.6;4.5;0.3;14.4
흀jord Ii;SN71780;2019-02-14;8.2;5.4;1.4;6.7
흀jord Ii;SN71780;2019-02-15;7.7;4.4;1.4;13.9
흀jord Ii;SN71780;2019-02-16;7.2;4.4;-0.1;2.5
흀jord Ii;SN71780;2019-02-17;3.8;1.8;-2.3;0.5
흀jord Ii;SN71780;2019-02-18;7.5;3.5;0.8;0
흀jord Ii;SN71780;2019-02-19;5.4;2.5;0.7;0
흀jord Ii;SN71780;2019-02-20;3.1;0.1;-1.5;8.8
흀jord Ii;SN71780;2019-02-21;0.9;-0.1;-1.8;0
흀jord Ii;SN71780;2019-02-22;4.8;3.1;0;6.6
흀jord Ii;SN71780;2019-02-23;8.3;4.8;2.5;8.1
흀jord Ii;SN71780;2019-02-24;8.1;6.1;0.1;0.7
흀jord Ii;SN71780;2019-02-25;7.5;6.4;4.9;0
흀jord Ii;SN71780;2019-02-26;8.3;6.6;5.2;5.1
흀jord Ii;SN71780;2019-02-27;7.3;5.9;4.5;2
흀jord Ii;SN71780;2019-02-28;5.1;1.8;0.2;9.3
흀jord Ii;SN71780;2019-03-01;2.8;1.3;0;10.9
