Name;Station;Time;Max_temp;Mean_temp;Min_temp
Namsos Lufthavn;SN72580;2019-01-01;7.5;2.5;0.8
Namsos Lufthavn;SN72580;2019-01-02;3.2;0.7;-1.6
Namsos Lufthavn;SN72580;2019-01-03;7.6;4.2;-0.1
Namsos Lufthavn;SN72580;2019-01-04;7.6;5.8;4.1
Namsos Lufthavn;SN72580;2019-01-05;5.2;3.8;2.7
Namsos Lufthavn;SN72580;2019-01-06;6.9;4.6;2.4
Namsos Lufthavn;SN72580;2019-01-07;4.9;1.7;0.8
Namsos Lufthavn;SN72580;2019-01-08;1.9;0.6;-0.7
Namsos Lufthavn;SN72580;2019-01-09;2.1;0.2;-1.7
Namsos Lufthavn;SN72580;2019-01-10;7.8;3.8;-0.9
Namsos Lufthavn;SN72580;2019-01-11;7.3;2.7;0.9
Namsos Lufthavn;SN72580;2019-01-12;3.3;0.1;-1.7
Namsos Lufthavn;SN72580;2019-01-13;0.9;-1.4;-5.5
Namsos Lufthavn;SN72580;2019-01-14;0;-2;-6.5
Namsos Lufthavn;SN72580;2019-01-15;-0.6;-4.9;-8
Namsos Lufthavn;SN72580;2019-01-16;-5;-7.3;-10.3
Namsos Lufthavn;SN72580;2019-01-17;-0.3;-5.7;-11.9
Namsos Lufthavn;SN72580;2019-01-18;0.5;-1.8;-6.4
Namsos Lufthavn;SN72580;2019-01-19;-0.6;-2.5;-6.5
Namsos Lufthavn;SN72580;2019-01-20;-0.7;-6.6;-9.5
Namsos Lufthavn;SN72580;2019-01-21;-6.7;-8.1;-11.4
Namsos Lufthavn;SN72580;2019-01-22;-4.7;-7;-8.7
Namsos Lufthavn;SN72580;2019-01-23;-6.5;-9.2;-13.3
Namsos Lufthavn;SN72580;2019-01-24;-4.1;-5;-7.6
Namsos Lufthavn;SN72580;2019-01-25;-1.6;-3.5;-5.1
Namsos Lufthavn;SN72580;2019-01-26;-3;-5.5;-7
Namsos Lufthavn;SN72580;2019-01-27;-6;-6.9;-7.9
Namsos Lufthavn;SN72580;2019-01-28;-3.2;-6.1;-8.2
Namsos Lufthavn;SN72580;2019-01-29;-4;-6.1;-8.6
Namsos Lufthavn;SN72580;2019-01-30;-5.7;-6.9;-8.1
Namsos Lufthavn;SN72580;2019-01-31;-3.5;-6.1;-9.3
Namsos Lufthavn;SN72580;2019-02-01;-1.8;-4.6;-8
Namsos Lufthavn;SN72580;2019-02-02;-3.5;-6.1;-7.6
Namsos Lufthavn;SN72580;2019-02-03;-5.9;-7.4;-8.3
Namsos Lufthavn;SN72580;2019-02-04;-7.3;-8.6;-9
Namsos Lufthavn;SN72580;2019-02-05;-8.4;-12.5;-15.8
Namsos Lufthavn;SN72580;2019-02-06;-1;-5.3;-10.8
Namsos Lufthavn;SN72580;2019-02-07;-1.1;-3.5;-4.8
Namsos Lufthavn;SN72580;2019-02-08;0.3;-1.7;-6.5
Namsos Lufthavn;SN72580;2019-02-09;-0.1;-1.1;-2.5
Namsos Lufthavn;SN72580;2019-02-10;-1.4;-1.9;-4.5
Namsos Lufthavn;SN72580;2019-02-11;1.2;0.1;-3.8
Namsos Lufthavn;SN72580;2019-02-12;1.8;0.1;-1.2
Namsos Lufthavn;SN72580;2019-02-13;6.9;5.3;-0.4
Namsos Lufthavn;SN72580;2019-02-14;8.9;6.4;2.2
Namsos Lufthavn;SN72580;2019-02-15;7.9;3.5;0.9
Namsos Lufthavn;SN72580;2019-02-16;6.7;3.9;0.2
Namsos Lufthavn;SN72580;2019-02-17;3.9;1.2;-2.2
Namsos Lufthavn;SN72580;2019-02-18;4.5;2.1;0.4
Namsos Lufthavn;SN72580;2019-02-19;4.4;1.7;-0.1
Namsos Lufthavn;SN72580;2019-02-20;2.5;-0.1;-2.3
Namsos Lufthavn;SN72580;2019-02-21;-1.2;-1.9;-3.4
Namsos Lufthavn;SN72580;2019-02-22;1.6;0.8;-2.7
Namsos Lufthavn;SN72580;2019-02-23;8.6;4.6;0.7
Namsos Lufthavn;SN72580;2019-02-24;7.4;5.1;0
Namsos Lufthavn;SN72580;2019-02-25;7.8;6.1;4.4
Namsos Lufthavn;SN72580;2019-02-26;7.8;5.5;3.5
Namsos Lufthavn;SN72580;2019-02-27;7.7;5.5;3.7
Namsos Lufthavn;SN72580;2019-02-28;5.3;1.8;-1.4
Namsos Lufthavn;SN72580;2019-03-01;1.6;0.2;-1.6
Namsos Lufthavn;SN72580;2019-03-02;3.7;1;-0.7
Namsos Lufthavn;SN72580;2019-03-03;-0.3;-3.4;-4.4
Namsos Lufthavn;SN72580;2019-03-04;-2.4;-5.2;-6.9
Namsos Lufthavn;SN72580;2019-03-05;-3.4;-8.3;-11.7
Namsos Lufthavn;SN72580;2019-03-06;-4;-9.7;-15
Namsos Lufthavn;SN72580;2019-03-07;-3;-5.6;-10.5
Namsos Lufthavn;SN72580;2019-03-08;0.3;-3.1;-6.7
Namsos Lufthavn;SN72580;2019-03-09;-0.9;-6.8;-9.5
Namsos Lufthavn;SN72580;2019-03-10;-2.3;-8;-13
Namsos Lufthavn;SN72580;2019-03-11;-1.4;-6.1;-9.6
Namsos Lufthavn;SN72580;2019-03-12;0.1;-5.7;-15.1
Namsos Lufthavn;SN72580;2019-03-13;0.2;-1.5;-3.7
Namsos Lufthavn;SN72580;2019-03-14;2.7;0.2;-1.5
Namsos Lufthavn;SN72580;2019-03-15;6;1.4;-0.8
Namsos Lufthavn;SN72580;2019-03-16;3.3;0.8;-1.5
Namsos Lufthavn;SN72580;2019-03-17;1.1;0.3;-1.5
