Name;Station;Time;Precipitation
Overhalla - Unnset;SN72650;2019-01-01;30
Overhalla - Unnset;SN72650;2019-01-02;5.2
Overhalla - Unnset;SN72650;2019-01-03;5.9
Overhalla - Unnset;SN72650;2019-01-04;34.3
Overhalla - Unnset;SN72650;2019-01-05;6.1
Overhalla - Unnset;SN72650;2019-01-06;4.5
Overhalla - Unnset;SN72650;2019-01-07;5.2
Overhalla - Unnset;SN72650;2019-01-08;0.7
Overhalla - Unnset;SN72650;2019-01-09;4.7
Overhalla - Unnset;SN72650;2019-01-10;6
Overhalla - Unnset;SN72650;2019-01-11;11.5
Overhalla - Unnset;SN72650;2019-01-12;8.8
Overhalla - Unnset;SN72650;2019-01-13;4.3
Overhalla - Unnset;SN72650;2019-01-14;10.6
Overhalla - Unnset;SN72650;2019-01-15;8.9
Overhalla - Unnset;SN72650;2019-01-16;0.6
Overhalla - Unnset;SN72650;2019-01-17;0.6
Overhalla - Unnset;SN72650;2019-01-18;6.8
Overhalla - Unnset;SN72650;2019-01-19;13
Overhalla - Unnset;SN72650;2019-01-20;12
Overhalla - Unnset;SN72650;2019-01-21;0.3
Overhalla - Unnset;SN72650;2019-01-22;1.3
Overhalla - Unnset;SN72650;2019-01-23;0
Overhalla - Unnset;SN72650;2019-01-24;0
Overhalla - Unnset;SN72650;2019-01-25;1.5
Overhalla - Unnset;SN72650;2019-01-26;0
Overhalla - Unnset;SN72650;2019-01-27;0
Overhalla - Unnset;SN72650;2019-01-28;0
Overhalla - Unnset;SN72650;2019-01-29;0
Overhalla - Unnset;SN72650;2019-01-30;0
Overhalla - Unnset;SN72650;2019-01-31;0
Overhalla - Unnset;SN72650;2019-02-01;0
Overhalla - Unnset;SN72650;2019-02-02;0
Overhalla - Unnset;SN72650;2019-02-03;0
Overhalla - Unnset;SN72650;2019-02-04;1.6
Overhalla - Unnset;SN72650;2019-02-05;0
Overhalla - Unnset;SN72650;2019-02-06;4.2
Overhalla - Unnset;SN72650;2019-02-07;5.3
Overhalla - Unnset;SN72650;2019-02-08;2.8
Overhalla - Unnset;SN72650;2019-02-09;0.1
Overhalla - Unnset;SN72650;2019-02-10;6.6
Overhalla - Unnset;SN72650;2019-02-11;3
Overhalla - Unnset;SN72650;2019-02-12;5
Overhalla - Unnset;SN72650;2019-02-13;11.5
Overhalla - Unnset;SN72650;2019-02-14;13.2
Overhalla - Unnset;SN72650;2019-02-15;11.2
Overhalla - Unnset;SN72650;2019-02-16;4.7
Overhalla - Unnset;SN72650;2019-02-17;0.7
Overhalla - Unnset;SN72650;2019-02-18;1.6
Overhalla - Unnset;SN72650;2019-02-19;0.4
Overhalla - Unnset;SN72650;2019-02-20;4.3
Overhalla - Unnset;SN72650;2019-02-21;0
Overhalla - Unnset;SN72650;2019-02-22;0.7
Overhalla - Unnset;SN72650;2019-02-23;12.4
Overhalla - Unnset;SN72650;2019-02-24;3
Overhalla - Unnset;SN72650;2019-02-25;1.7
Overhalla - Unnset;SN72650;2019-02-26;7.8
Overhalla - Unnset;SN72650;2019-02-27;6
Overhalla - Unnset;SN72650;2019-02-28;17.6
Overhalla - Unnset;SN72650;2019-03-01;0.4
Overhalla - Unnset;SN72650;2019-03-02;14.9
Overhalla - Unnset;SN72650;2019-03-03;0.1
Overhalla - Unnset;SN72650;2019-03-04;0
Overhalla - Unnset;SN72650;2019-03-05;0
Overhalla - Unnset;SN72650;2019-03-06;0
Overhalla - Unnset;SN72650;2019-03-07;0
Overhalla - Unnset;SN72650;2019-03-08;1
Overhalla - Unnset;SN72650;2019-03-09;0.8
Overhalla - Unnset;SN72650;2019-03-10;0.4
Overhalla - Unnset;SN72650;2019-03-11;0.2
Overhalla - Unnset;SN72650;2019-03-12;0
Overhalla - Unnset;SN72650;2019-03-13;0.1
Overhalla - Unnset;SN72650;2019-03-14;2.4
Overhalla - Unnset;SN72650;2019-03-15;0
Overhalla - Unnset;SN72650;2019-03-16;0
Overhalla - Unnset;SN72650;2019-03-17;0
Overhalla - Unnset;SN72650;2019-03-18;0
Overhalla - Unnset;SN72650;2019-03-19;0
Overhalla - Unnset;SN72650;2019-03-20;5.9
Overhalla - Unnset;SN72650;2019-03-21;8.9
Overhalla - Unnset;SN72650;2019-03-22;5
Overhalla - Unnset;SN72650;2019-03-23;1.3
Overhalla - Unnset;SN72650;2019-03-24;7.6
Overhalla - Unnset;SN72650;2019-03-25;0.8
Overhalla - Unnset;SN72650;2019-03-26;5.8
Overhalla - Unnset;SN72650;2019-03-27;8
Overhalla - Unnset;SN72650;2019-03-28;4.5
Overhalla - Unnset;SN72650;2019-03-29;14.5
Overhalla - Unnset;SN72650;2019-03-30;3.7
Overhalla - Unnset;SN72650;2019-03-31;8.6
Overhalla - Unnset;SN72650;2019-04-01;4.9
Overhalla - Unnset;SN72650;2019-04-02;3.4
Overhalla - Unnset;SN72650;2019-04-03;0
Overhalla - Unnset;SN72650;2019-04-04;0
Overhalla - Unnset;SN72650;2019-04-05;0
Overhalla - Unnset;SN72650;2019-04-06;0
Overhalla - Unnset;SN72650;2019-04-07;0.1
Overhalla - Unnset;SN72650;2019-04-08;0
Overhalla - Unnset;SN72650;2019-04-09;0
Overhalla - Unnset;SN72650;2019-04-10;0
Overhalla - Unnset;SN72650;2019-04-11;0
Overhalla - Unnset;SN72650;2019-04-12;0
Overhalla - Unnset;SN72650;2019-04-13;0
Overhalla - Unnset;SN72650;2019-04-14;0
Overhalla - Unnset;SN72650;2019-04-15;0
Overhalla - Unnset;SN72650;2019-04-16;0
Overhalla - Unnset;SN72650;2019-04-17;0
Overhalla - Unnset;SN72650;2019-04-18;0
Overhalla - Unnset;SN72650;2019-04-19;0
Overhalla - Unnset;SN72650;2019-04-20;0
Overhalla - Unnset;SN72650;2019-04-21;1.4
Overhalla - Unnset;SN72650;2019-04-22;1.1
Overhalla - Unnset;SN72650;2019-04-23;0
Overhalla - Unnset;SN72650;2019-04-24;0
Overhalla - Unnset;SN72650;2019-04-25;0
Overhalla - Unnset;SN72650;2019-04-26;0
Overhalla - Unnset;SN72650;2019-04-27;0
Overhalla - Unnset;SN72650;2019-04-28;0
Overhalla - Unnset;SN72650;2019-04-29;0
Overhalla - Unnset;SN72650;2019-04-30;0
Overhalla - Unnset;SN72650;2019-05-01;0.2
Overhalla - Unnset;SN72650;2019-05-02;2.5
Overhalla - Unnset;SN72650;2019-05-03;4
Overhalla - Unnset;SN72650;2019-05-04;1.7
Overhalla - Unnset;SN72650;2019-05-05;10.4
Overhalla - Unnset;SN72650;2019-05-06;0.1
Overhalla - Unnset;SN72650;2019-05-07;0.1
Overhalla - Unnset;SN72650;2019-05-08;20.2
Overhalla - Unnset;SN72650;2019-05-09;4.2
Overhalla - Unnset;SN72650;2019-05-10;0.6
Overhalla - Unnset;SN72650;2019-05-11;0.2
Overhalla - Unnset;SN72650;2019-05-12;4.2
Overhalla - Unnset;SN72650;2019-05-13;3.5
Overhalla - Unnset;SN72650;2019-05-14;4
Overhalla - Unnset;SN72650;2019-05-15;3.4
Overhalla - Unnset;SN72650;2019-05-16;0.5
Overhalla - Unnset;SN72650;2019-05-17;0
Overhalla - Unnset;SN72650;2019-05-18;0
Overhalla - Unnset;SN72650;2019-05-19;0
Overhalla - Unnset;SN72650;2019-05-20;3
Overhalla - Unnset;SN72650;2019-05-21;0
Overhalla - Unnset;SN72650;2019-05-22;0
Overhalla - Unnset;SN72650;2019-05-23;0.2
Overhalla - Unnset;SN72650;2019-05-24;4.8
Overhalla - Unnset;SN72650;2019-05-25;1.7
Overhalla - Unnset;SN72650;2019-05-26;0
Overhalla - Unnset;SN72650;2019-05-27;0.2
Overhalla - Unnset;SN72650;2019-05-28;1.5
Overhalla - Unnset;SN72650;2019-05-29;14.5
