"","Date","year","month","Location","Sublocation","Block","Treatment_ID","Treatment","Registered_by","t_year","Roughness","Slope","Sphagnum","Dead_sph","Polytrichum","Racomitrium","Other_mosses","Livermosses","Lichen","Carex","Trichophorum","Eriopherum","Sedges","Rhynchospora","Grasses","Heathers","Oxycoccus","Blueberry","Drosera","Herbs","Narthecium","Bet_nan","Seedlings","Bushes","Trees","Bare_peat","Litter","Mulch","Dead_wood","Temp_water","Other","All_species","Notes.x","WAL #","Sample_ID","Burial_Date","Retrieval_Date","#Anion","#Cation","Notes.y","NO3_N","NH4_N","Ca","Mg","K","P","Fe","Mn","Cu","Zn","B","S","Pb","Al","Cd","Name","Station_ID","consecutive_days_count","gs_mean","gs_max","gs_min","total_days","Change_Year","Change_Total","Other_veg","Total_veg","Field","Veg_Ground","Tot_Ground","Sphagnum_nozero","Sphagnum_int","Sphagnum_no1","Sphagnum_beta"
"1",2021-06-08,"2021","6","BSM","1","1","C","C","MF; LIL",0,"4",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,15,0,2,0,0,"ingen i live, t<U+00F8>rr sphagnum, t<U+00F8>rr calluna",NA,"203358",1,2021-06-07,2021-09-13,2,2,NA,13,16,718,753,7,0.07,2.2,1.9,0.11,4.91,0.02,674,0.19,16.5,0.01,"Hoydalsmoan","BSM1",2,-0.110050166420118,-0.0689,-0.2499,4,NA,NA,0,0,0,0,102,1e-04,0,0,1e-04
"2",2022-09-14,"2022","9","BSM","1","1","C","C","MOK",2,"4",2,0,3,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,95,4,0,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",NA,NA,NA,NA,NA,0,NA,0.3,0.3,0.3,0,102.1,1e-04,0,0,1e-04
"3",2023-09-07,"2023","9","BSM","1","1","C","C","MF",3,"4",2,0.1,5,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,88,7,0,0,0,NA,"e. vag,ukjent liten sphagnum, r<U+00F8>sslyng, krekling, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",NA,NA,NA,NA,NA,0.1,0.1,0.2,0.3,0.2,0.1,100.1,0.1,1,0.1,0.1
"4",2021-06-08,"2021","6","BSM","1","1","M","M","MF; LIL",0,"3",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,"ingen i live, noe t<U+00F8>rr sphagnum, str<U+00F8> fra gras?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",2,-0.110050166420118,-0.0689,-0.2499,4,NA,NA,0,0,0,0,100,1e-04,0,0,1e-04
"5",2022-09-14,"2022","9","BSM","1","1","M","M","MOK",2,"3",2,0.1,0,0.1,0,2,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,30,1,70,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",NA,NA,NA,NA,NA,0.1,NA,2.2,2.3,0.1,2.2,103.2,0.1,1,0.1,0.1
"6",2023-09-07,"2023","9","BSM","1","1","M","M","MF",3,"3",2,0.1,0,0.1,0,0,7,0,0,0,0.1,0,0,0,3,0,0,0,0,0,0,0,0,0,25,5,60,0,0,NA,"e.vag, r<U+00F8>sslyng, levermoserb, bj<U+00F8>rnemose, rub",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",NA,NA,NA,NA,NA,0,0.1,10.2,10.3,3.1,7.2,97.2,0.1,1,0.1,0.1
"7",2021-06-08,"2021","6","BSM","1","1","S1","S","MF; LIL",0,"2",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,5,0,2,0,0,"ingen i live",NA,"203359",3,2021-06-07,2021-09-13,2,2,NA,3,25,625,753,87,0.3,2.2,1.8,0.09,6.43,2.09,504,0.33,37.1,0.01,"Hoydalsmoan","BSM1",2,-0.110050166420118,-0.0689,-0.2499,4,NA,NA,0,0,0,0,102,1e-04,0,0,1e-04
"8",2022-09-14,"2022","9","BSM","1","1","S1","S","MOK",2,"2",2,45,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,1,1,75,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",NA,NA,NA,NA,NA,45,NA,0.3,45.3,0.2,45.1,122.1,45,45,45,45
"9",2023-09-07,"2023","9","BSM","1","1","S1","S","FB, ACM",3,"2",2,80,0,0,0,0.1,5,0,0,0,0.1,0,0,0,3,0,0.1,0,0,0,0,0,0,0,0,1,35,0,0,NA,"vacc myr, calluna, e. vag, bladmoser, levermoser, emp nigr, rub, pap, div comp, ang, ten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",NA,NA,NA,NA,NA,35,80,8.3,88.3,3.2,85.1,121.1,80,80,80,80
"10",2021-06-08,"2021","6","BSM","1","1","S2","S","MF; LIL",0,"5",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,5,0,5,0,0,"ingen i live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoydalsmoan","BSM1",2,-0.110050166420118,-0.0689,-0.2499,4,NA,NA,0,0,0,0,100,1e-04,0,0,1e-04
