"","Location","Sublocation","Block","Treatment","Logger_ID","year","DateTime","daily_mean","daily_max","daily_min"
"1","BSM","1","1","C","20857990",2021,2021-06-10,18.4563333333333,23.004,13.269
"2","BSM","1","1","C","20857990",2021,2021-06-11,15.890125,17.475,14.23
"3","BSM","1","1","C","20857990",2021,2021-06-12,12.36275,13.365,10.944
"4","BSM","1","1","C","20857990",2021,2021-06-13,10.70975,11.819,9.669
"5","BSM","1","1","C","20857990",2021,2021-06-14,11.82625,13.654,10.161
"6","BSM","1","1","C","20857990",2021,2021-06-15,10.929125,12.013,9.965
"7","BSM","1","1","C","20857990",2021,2021-06-16,12.67125,17.475,8.481
"8","BSM","1","1","C","20857990",2021,2021-06-17,13.77,16.141,12.013
"9","BSM","1","1","C","20857990",2021,2021-06-18,13.134375,15.091,12.207
"10","BSM","1","1","C","20857990",2021,2021-06-19,11.983375,13.846,9.768
"11","BSM","1","1","C","20857990",2021,2021-06-20,13.817125,18.331,10.161
"12","BSM","1","1","C","20857990",2021,2021-06-21,13.760125,15.569,12.69
"13","BSM","1","1","C","20857990",2021,2021-06-22,14.465875,19.567,10.846
"14","BSM","1","1","C","20857990",2021,2021-06-23,13.611375,17.95,9.768
"15","BSM","1","1","C","20857990",2021,2021-06-24,13.76,14.996,12.497
"16","BSM","1","1","C","20857990",2021,2021-06-25,13.922875,17.379,11.819
"17","BSM","1","1","C","20857990",2021,2021-06-26,13.1245,17.665,8.978
"18","BSM","1","1","C","20857990",2021,2021-06-27,12.241125,13.75,11.041
"19","BSM","1","1","C","20857990",2021,2021-06-28,12.31375,13.558,11.236
"20","BSM","1","1","C","20857990",2021,2021-06-29,13.103125,17.284,11.139
"21","BSM","1","1","C","20857990",2021,2021-06-30,15.145375,22.142,9.472
"22","BSM","1","1","C","20857990",2021,2021-07-01,17.24875,24.641,11.041
"23","BSM","1","1","C","20857990",2021,2021-07-02,19.4365,26.488,13.654
"24","BSM","1","1","C","20857990",2021,2021-07-03,20.3575,26.781,15.282
"25","BSM","1","1","C","20857990",2021,2021-07-04,20.829875,25.416,16.713
"26","BSM","1","1","C","20857990",2021,2021-07-05,20.31275,24.641,16.427
"27","BSM","1","1","C","20857990",2021,2021-07-06,19.854625,22.429,17.665
"28","BSM","1","1","C","20857990",2021,2021-07-07,19.262875,24.062,16.141
"29","BSM","1","1","C","20857990",2021,2021-07-08,20.372875,24.835,17.189
"30","BSM","1","1","C","20857990",2021,2021-07-09,20.334,26.39,15.282
"31","BSM","1","1","C","20857990",2021,2021-07-10,18.366375,20.615,16.427
"32","BSM","1","1","C","20857990",2021,2021-07-11,16.938875,17.76,15.951
"33","BSM","1","1","C","20857990",2021,2021-07-12,19.065375,26.097,13.558
"34","BSM","1","1","C","20857990",2021,2021-07-13,20.403375,26,15.664
"35","BSM","1","1","C","20857990",2021,2021-07-14,20.395,24.835,16.903
"36","BSM","1","1","C","20857990",2021,2021-07-15,17.5215,18.901,15.473
"37","BSM","1","1","C","20857990",2021,2021-07-16,15.162,16.427,14.038
"38","BSM","1","1","C","20857990",2021,2021-07-17,13.701375,14.421,12.787
"39","BSM","1","1","C","20857990",2021,2021-07-18,12.3875,13.269,11.819
"40","BSM","1","1","C","20857990",2021,2021-07-19,11.503375,12.013,11.139
"41","BSM","1","1","C","20857990",2021,2021-07-20,12.430875,14.804,10.748
"42","BSM","1","1","C","20857990",2021,2021-07-21,12.8295,15.569,10.944
"43","BSM","1","1","C","20857990",2021,2021-07-22,12.749125,13.942,11.819
"44","BSM","1","1","C","20857990",2021,2021-07-23,14.29175,18.996,11.528
"45","BSM","1","1","C","20857990",2021,2021-07-24,16.839375,24.255,10.846
"46","BSM","1","1","C","20857990",2021,2021-07-25,17.674,22.812,13.558
"47","BSM","1","1","C","20857990",2021,2021-07-26,19.613375,25.805,14.421
"48","BSM","1","1","C","20857990",2021,2021-07-27,19.7625,23.869,15.951
"49","BSM","1","1","C","20857990",2021,2021-07-28,20.7105,26.292,16.903
"50","BSM","1","1","C","20857990",2021,2021-07-29,19.823125,24.351,15.951
"51","BSM","1","1","C","20857990",2021,2021-07-30,15.93775,17.57,14.325
"52","BSM","1","1","C","20857990",2021,2021-07-31,14.682375,16.237,13.076
"53","BSM","1","1","C","20857990",2021,2021-08-01,14.714,17.284,12.11
"54","BSM","1","1","C","20857990",2021,2021-08-02,15.35325,20.901,11.528
"55","BSM","1","1","C","20857990",2021,2021-08-03,14.685875,19.282,11.625
"56","BSM","1","1","C","20857990",2021,2021-08-04,14.255125,20.71,9.669
"57","BSM","1","1","C","20857990",2021,2021-08-05,16.715125,22.908,11.916
"58","BSM","1","1","C","20857990",2021,2021-08-06,16.777125,21.951,12.401
"59","BSM","1","1","C","20857990",2021,2021-08-07,16.12425,19.948,13.076
"60","BSM","1","1","C","20857990",2021,2021-08-08,15.93625,18.711,14.23
"61","BSM","1","1","C","20857990",2021,2021-08-09,17.551125,24.158,11.819
"62","BSM","1","1","C","20857990",2021,2021-08-10,17.889625,24.545,13.076
"63","BSM","1","1","C","20857990",2021,2021-08-11,19.07375,24.931,15.76
"64","BSM","1","1","C","20857990",2021,2021-08-12,19.397,25.513,15.855
"65","BSM","1","1","C","20857990",2021,2021-08-13,17.71175,19.758,15.76
"66","BSM","1","1","C","20857990",2021,2021-08-14,15.449375,15.951,14.709
"67","BSM","1","1","C","20857990",2021,2021-08-15,14.742875,16.713,13.558
"68","BSM","1","1","C","20857990",2021,2021-08-16,14.609875,16.713,13.076
"69","BSM","1","1","C","20857990",2021,2021-08-17,14.403125,17.284,12.11
"70","BSM","1","1","C","20857990",2021,2021-08-18,12.17825,13.846,10.063
"71","BSM","1","1","C","20857990",2021,2021-08-19,11.891375,12.787,11.236
"72","BSM","1","1","C","20857990",2021,2021-08-20,12.384875,13.942,11.041
"73","BSM","1","1","C","20857990",2021,2021-08-21,12.870375,16.618,10.063
"74","BSM","1","1","C","20857990",2021,2021-08-22,12.204,16.523,9.077
"75","BSM","1","1","C","20857990",2021,2021-08-23,12.190875,14.038,10.846
"76","BSM","1","1","C","20857990",2021,2021-08-24,10.758375,11.722,9.571
"77","BSM","1","1","C","20857990",2021,2021-08-25,11.587375,12.787,10.553
"78","BSM","1","1","C","20857990",2021,2021-08-26,12.118875,18.996,6.674
"79","BSM","1","1","C","20857990",2021,2021-08-27,13.493625,19.948,8.978
"80","BSM","1","1","C","20857990",2021,2021-08-28,13.678625,20.71,8.382
"81","BSM","1","1","C","20857990",2021,2021-08-29,13.66275,19.853,9.077
"82","BSM","1","1","C","20857990",2021,2021-08-30,13.195,14.709,12.11
"83","BSM","1","1","C","20857990",2021,2021-08-31,12.60425,13.654,11.819
"84","BSM","1","1","C","20857990",2021,2021-09-01,11.963625,12.98,11.236
"85","BSM","1","1","C","20857990",2021,2021-09-02,11.5035,12.11,10.944
"86","BSM","1","1","C","20857990",2021,2021-09-03,11.3065,14.804,8.382
"87","BSM","1","1","C","20857990",2021,2021-09-04,11.81675,16.808,8.581
"88","BSM","1","1","C","20857990",2021,2021-09-05,10.92175,16.141,6.674
"89","BSM","1","1","C","20857990",2021,2021-09-06,11.25725,12.497,9.965
"90","BSM","1","1","C","20857990",2021,2021-09-07,12.1335,12.787,11.334
"91","BSM","1","1","C","20857990",2021,2021-09-08,12.9065,14.038,11.916
"92","BSM","1","1","C","20857990",2021,2021-09-09,13.496,19.092,11.236
"93","BSM","1","1","C","20857990",2021,2021-09-10,10.645875,13.365,7.582
"94","BSM","1","1","C","20857990",2021,2021-09-11,13.28825,15.473,11.625
"95","BSM","1","1","C","20857990",2021,2021-09-12,12.241625,13.173,10.748
"96","BSM","1","1","C","20857990",2021,2021-09-13,10.290625,12.304,8.779
"97","BSM","1","1","C","20857990",2021,2021-09-14,10.367875,14.23,8.282
"98","BSM","1","1","C","20857990",2021,2021-09-15,9.9135,15.951,5.347
"99","BSM","1","1","C","20857990",2021,2021-09-16,11.11475,14.038,8.779
"100","BSM","1","1","C","20857990",2021,2021-09-17,11.936125,16.808,9.571
"101","BSM","1","1","C","20857990",2021,2021-09-18,9.822625,13.461,6.775
"102","BSM","1","1","C","20857990",2021,2021-09-19,10.61125,15.664,7.179
"103","BSM","1","1","C","20857990",2021,2021-09-20,8.7985,11.431,5.655
"104","BSM","1","1","C","20857990",2021,2021-09-21,9.727,11.528,8.581
"105","BSM","1","1","C","20857990",2021,2021-09-22,9.877,11.041,9.176
"106","BSM","1","1","C","20857990",2021,2021-09-23,9.143375,11.236,7.381
"107","BSM","1","1","C","20857990",2021,2021-09-24,7.817875,8.581,6.877
"108","BSM","1","1","C","20857990",2021,2021-09-25,9.320125,11.236,8.082
"109","BSM","1","1","C","20857990",2021,2021-09-26,10.262375,12.883,8.581
"110","BSM","1","1","C","20857990",2021,2021-09-27,10.306625,13.942,7.682
"111","BSM","1","1","C","20857990",2021,2021-09-28,10.428625,11.916,9.472
"112","BSM","1","1","C","20857990",2021,2021-09-29,9.827125,12.883,7.381
"113","BSM","1","1","C","20857990",2021,2021-09-30,9.812875,11.916,8.879
"114","BSM","1","1","M","20857961",2021,2021-06-10,17.8688333333333,20.329,14.038
"115","BSM","1","1","M","20857961",2021,2021-06-11,15.818375,17.284,14.325
"116","BSM","1","1","M","20857961",2021,2021-06-12,12.641125,13.558,11.431
"117","BSM","1","1","M","20857961",2021,2021-06-13,11.0765,11.916,10.161
"118","BSM","1","1","M","20857961",2021,2021-06-14,11.984875,13.461,10.357
"119","BSM","1","1","M","20857961",2021,2021-06-15,11.29575,12.11,10.455
"120","BSM","1","1","M","20857961",2021,2021-06-16,12.828625,16.237,9.472
"121","BSM","1","1","M","20857961",2021,2021-06-17,13.8195,15.569,12.497
"122","BSM","1","1","M","20857961",2021,2021-06-18,13.1355,14.325,12.497
"123","BSM","1","1","M","20857961",2021,2021-06-19,12.15625,13.269,10.651
"124","BSM","1","1","M","20857961",2021,2021-06-20,13.524125,16.618,10.846
"125","BSM","1","1","M","20857961",2021,2021-06-21,13.73675,15.091,12.883
"126","BSM","1","1","M","20857961",2021,2021-06-22,13.863125,16.618,11.625
"127","BSM","1","1","M","20857961",2021,2021-06-23,14.08525,17.379,10.455
"128","BSM","1","1","M","20857961",2021,2021-06-24,13.929125,14.804,13.076
"129","BSM","1","1","M","20857961",2021,2021-06-25,13.483125,15.187,12.304
"130","BSM","1","1","M","20857961",2021,2021-06-26,13.637875,17.094,9.768
"131","BSM","1","1","M","20857961",2021,2021-06-27,12.653,13.75,11.819
"132","BSM","1","1","M","20857961",2021,2021-06-28,12.52,13.461,11.625
"133","BSM","1","1","M","20857961",2021,2021-06-29,12.73525,14.996,11.528
"134","BSM","1","1","M","20857961",2021,2021-06-30,14.19975,18.711,10.161
"135","BSM","1","1","M","20857961",2021,2021-07-01,16.1745,20.996,11.139
"136","BSM","1","1","M","20857961",2021,2021-07-02,18.401125,23.196,13.654
"137","BSM","1","1","M","20857961",2021,2021-07-03,19.428125,23.773,15.187
"138","BSM","1","1","M","20857961",2021,2021-07-04,19.808125,22.621,16.808
"139","BSM","1","1","M","20857961",2021,2021-07-05,19.593,22.333,16.332
"140","BSM","1","1","M","20857961",2021,2021-07-06,18.972875,20.424,17.57
"141","BSM","1","1","M","20857961",2021,2021-07-07,18.25925,21.091,16.141
"142","BSM","1","1","M","20857961",2021,2021-07-08,19.390875,22.908,16.903
"143","BSM","1","1","M","20857961",2021,2021-07-09,19.45125,23.388,15.378
"144","BSM","1","1","M","20857961",2021,2021-07-10,18.306625,20.138,16.332
"145","BSM","1","1","M","20857961",2021,2021-07-11,16.879625,17.379,16.237
"146","BSM","1","1","M","20857961",2021,2021-07-12,18.401625,22.812,14.325
"147","BSM","1","1","M","20857961",2021,2021-07-13,18.962125,22.525,15.664
"148","BSM","1","1","M","20857961",2021,2021-07-14,19.283625,22.621,16.523
"149","BSM","1","1","M","20857961",2021,2021-07-15,17.248125,18.616,15.569
"150","BSM","1","1","M","20857961",2021,2021-07-16,15.2695,16.332,14.325
"151","BSM","1","1","M","20857961",2021,2021-07-17,13.941625,14.709,13.076
"152","BSM","1","1","M","20857961",2021,2021-07-18,12.556625,13.461,11.916
"153","BSM","1","1","M","20857961",2021,2021-07-19,11.855375,12.11,11.528
"154","BSM","1","1","M","20857961",2021,2021-07-20,12.831,14.709,11.139
"155","BSM","1","1","M","20857961",2021,2021-07-21,13.145625,14.9,11.819
"156","BSM","1","1","M","20857961",2021,2021-07-22,13.027,14.134,12.207
"157","BSM","1","1","M","20857961",2021,2021-07-23,14.0215,16.332,12.207
"158","BSM","1","1","M","20857961",2021,2021-07-24,16.331125,21.187,11.819
"159","BSM","1","1","M","20857961",2021,2021-07-25,17.579,21.187,14.325
"160","BSM","1","1","M","20857961",2021,2021-07-26,18.84275,22.525,15.282
"161","BSM","1","1","M","20857961",2021,2021-07-27,18.97325,21.569,15.951
"162","BSM","1","1","M","20857961",2021,2021-07-28,19.867375,23.004,16.999
"163","BSM","1","1","M","20857961",2021,2021-07-29,19.28325,21.76,16.237
"164","BSM","1","1","M","20857961",2021,2021-07-30,16.14075,17.57,14.9
"165","BSM","1","1","M","20857961",2021,2021-07-31,14.92275,16.046,13.75
"166","BSM","1","1","M","20857961",2021,2021-08-01,14.837,16.713,12.98
"167","BSM","1","1","M","20857961",2021,2021-08-02,14.7155,17.76,12.497
"168","BSM","1","1","M","20857961",2021,2021-08-03,14.056625,16.523,12.013
"169","BSM","1","1","M","20857961",2021,2021-08-04,14.034625,18.045,10.357
"170","BSM","1","1","M","20857961",2021,2021-08-05,16.217625,20.043,12.69
"171","BSM","1","1","M","20857961",2021,2021-08-06,16.410625,19.758,13.173
"172","BSM","1","1","M","20857961",2021,2021-08-07,15.291875,17.189,13.365
"173","BSM","1","1","M","20857961",2021,2021-08-08,15.2335,16.808,14.134
"174","BSM","1","1","M","20857961",2021,2021-08-09,16.394875,20.71,12.401
"175","BSM","1","1","M","20857961",2021,2021-08-10,17.07725,21.091,13.269
"176","BSM","1","1","M","20857961",2021,2021-08-11,17.568875,21.091,15.473
"177","BSM","1","1","M","20857961",2021,2021-08-12,17.651875,20.996,15.282
"178","BSM","1","1","M","20857961",2021,2021-08-13,17.057,18.806,15.282
"179","BSM","1","1","M","20857961",2021,2021-08-14,15.4375,15.855,14.996
"180","BSM","1","1","M","20857961",2021,2021-08-15,14.707625,16.046,13.75
"181","BSM","1","1","M","20857961",2021,2021-08-16,14.5635,16.046,13.461
"182","BSM","1","1","M","20857961",2021,2021-08-17,14.430125,16.618,12.787
"183","BSM","1","1","M","20857961",2021,2021-08-18,12.4465,13.558,10.944
"184","BSM","1","1","M","20857961",2021,2021-08-19,12.08525,12.98,11.334
"185","BSM","1","1","M","20857961",2021,2021-08-20,12.313,13.654,11.041
"186","BSM","1","1","M","20857961",2021,2021-08-21,12.746,14.9,10.944
"187","BSM","1","1","M","20857961",2021,2021-08-22,12.188125,14.517,10.063
"188","BSM","1","1","M","20857961",2021,2021-08-23,12.31375,13.654,11.236
"189","BSM","1","1","M","20857961",2021,2021-08-24,11.052625,11.722,10.357
"190","BSM","1","1","M","20857961",2021,2021-08-25,11.5395,12.401,10.944
"191","BSM","1","1","M","20857961",2021,2021-08-26,11.822875,15.569,8.082
"192","BSM","1","1","M","20857961",2021,2021-08-27,12.751,16.141,9.768
"193","BSM","1","1","M","20857961",2021,2021-08-28,13.105375,17.379,9.176
"194","BSM","1","1","M","20857961",2021,2021-08-29,13.073875,16.808,9.669
"195","BSM","1","1","M","20857961",2021,2021-08-30,12.990625,14.23,12.013
"196","BSM","1","1","M","20857961",2021,2021-08-31,12.665375,13.461,12.013
"197","BSM","1","1","M","20857961",2021,2021-09-01,12.060875,12.787,11.334
"198","BSM","1","1","M","20857961",2021,2021-09-02,11.637,12.013,11.236
"199","BSM","1","1","M","20857961",2021,2021-09-03,11.1195,13.461,8.978
"200","BSM","1","1","M","20857961",2021,2021-09-04,11.506,14.325,9.373
"201","BSM","1","1","M","20857961",2021,2021-09-05,10.7695,14.038,7.882
"202","BSM","1","1","M","20857961",2021,2021-09-06,11.282875,12.207,10.259
"203","BSM","1","1","M","20857961",2021,2021-09-07,12.145375,12.883,11.334
"204","BSM","1","1","M","20857961",2021,2021-09-08,12.85875,13.846,12.304
"205","BSM","1","1","M","20857961",2021,2021-09-09,12.66125,15.378,11.236
"206","BSM","1","1","M","20857961",2021,2021-09-10,10.86225,12.69,8.581
"207","BSM","1","1","M","20857961",2021,2021-09-11,13.012875,14.421,11.625
"208","BSM","1","1","M","20857961",2021,2021-09-12,12.33925,12.98,11.139
"209","BSM","1","1","M","20857961",2021,2021-09-13,10.721625,12.013,9.571
"210","BSM","1","1","M","20857961",2021,2021-09-14,10.230375,12.207,8.978
"211","BSM","1","1","M","20857961",2021,2021-09-15,9.356,12.594,6.573
"212","BSM","1","1","M","20857961",2021,2021-09-16,10.471875,12.304,8.68
