"","Location","Sublocation","Block","Treatment","Logger_ID","year","DateTime","soil_gs_mean","soil_gs_max","soil_gs_min"
"1","BSM","1","1","C","20857990",2021,2021-01-01,14.1042195121951,26.781,5.347
"2","BSM","1","1","M","20857961",2021,2021-01-01,13.8307915742794,23.773,6.37
"3","BSM","1","2","C","20857946",2021,2021-01-01,13.7652793791574,26.097,3.788
"4","BSM","1","2","M","20857969",2021,2021-01-01,13.5011651884701,21.855,6.674
"5","BSM","1","2","M","20857969",2022,2022-01-01,12.6572818627451,27.961,0.563
"6","BSM","1","3","C","20857945",2021,2021-01-01,13.4545199556541,24.738,4.102
"7","BSM","1","3","M","20857982",2021,2021-01-01,13.764854767184,22.717,6.978
"8","BSM","1","3","M","20857982",2022,2022-01-01,13.0245874183007,23.1,3.261
"9","BSM","1","4","C","20857956",2021,2021-01-01,14.0531607538803,26,4.415
"10","BSM","1","4","C","20857956",2022,2022-01-01,13.3069730392157,30.659,-0.213
"11","BSM","1","4","M","20857971",2021,2021-01-01,14.1816286031042,24.931,5.552
"12","BSM","1","4","M","20857971",2022,2022-01-01,13.1644422348485,26.292,1.003
"13","BSM","2","1","C","20857952",2021,2021-01-01,15.6757653543307,26.292,6.268
"14","BSM","2","1","M","20857991",2021,2021-01-01,14.0372317073171,23.292,7.079
"15","BSM","2","1","M","20857991",2022,2022-01-01,9.25759574468085,23.677,0.784
"16","BSM","2","2","C","20857951",2021,2021-01-01,13.7806407982262,25.125,4.102
"17","BSM","2","2","C","20857951",2022,2022-01-01,13.1564281045752,26.195,1.221
"18","BSM","2","2","M","20857983",2021,2021-01-01,13.8046685144124,22.621,6.268
"19","BSM","2","2","M","20857983",2022,2022-01-01,12.9490833333333,25.805,1.656
"20","BSM","2","3","C","20857943",2021,2021-01-01,14.3886507760532,28.06,2.943
"21","BSM","2","3","M","20857957",2021,2021-01-01,14.5869811529933,26.683,4.934
"22","BSM","2","3","M","20857957",2022,2022-01-01,14.0737223320158,28.456,1.656
"23","BSM","2","4","C","20857964",2021,2021-01-01,14.5674035476718,25.805,8.182
"24","BSM","2","4","C","20857964",2022,2022-01-01,14.1925480225989,24.931,4.831
"25","BSM","2","4","M","20857986",2021,2021-01-01,14.1921596452328,24.738,6.775
"26","BSM","2","4","M","20857986",2022,2022-01-01,13.5380653594771,25.319,3.155
"27","BSM","3","1","C","20857953",2021,2021-01-01,13.8050798226164,23.869,5.347
"28","BSM","3","1","M","20857959",2021,2021-01-01,13.9095532150776,22.812,6.37
"29","BSM","3","1","M","20857959",2022,2022-01-01,13.4444513124471,26.488,1.548
"30","BSM","3","2","C","20857985",2021,2021-01-01,13.2254201773836,22.046,5.347
"31","BSM","3","2","C","20857985",2022,2022-01-01,12.8659379084967,24.545,0.893
"32","BSM","3","2","M","20858010",2021,2021-01-01,13.7802239467849,23.292,6.37
"33","BSM","3","3","C","20857950",2021,2021-01-01,13.5249966740577,22.238,5.757
"34","BSM","3","3","C","20857950",2022,2022-01-01,10.2568209876543,21.569,1.221
"35","BSM","3","3","M","20858017",2021,2021-01-01,14.0604046563193,23.292,6.37
"36","BSM","3","4","C","20857977",2021,2021-01-01,13.5606053215078,22.908,5.552
"37","BSM","3","4","M","20857988",2021,2021-01-01,13.6461407982262,23.196,4.934
"38","BSM","3","4","M","20857988",2022,2022-01-01,12.7292254901961,27.468,0.784
