"","Location","Sublocation","Block","Treatment","Logger_ID","year","DateTime","soil_gs_mean","soil_gs_max","soil_gs_min","Avg_Temp_Fluctuation","Max_Temp_Fluctuation","Min_Temp_Fluctuation"
"1","BSM","1","1","C","20857990",2021,2021-01-01,14.1042195121951,26.781,5.347,5.98478761061947,13.6,0.874000000000001
"2","BSM","1","1","M","20857961",2021,2021-01-01,13.8307915742794,23.773,6.37,4.06704424778761,9.857,0.581999999999999
"3","BSM","1","2","C","20857946",2021,2021-01-01,13.7652793791574,26.097,3.788,6.40389380530973,13.93,1.264
"4","BSM","1","2","M","20857969",2021,2021-01-01,13.5011651884701,21.855,6.674,3.18170796460177,7.767,0.581999999999999
"5","BSM","1","3","C","20857945",2021,2021-01-01,13.4545199556541,24.738,4.102,5.99882300884956,12.804,0.780000000000001
"6","BSM","1","3","M","20857982",2021,2021-01-01,13.764854767184,22.717,6.978,3.27470796460177,8.42,0.291
"7","BSM","1","4","C","20857956",2021,2021-01-01,14.0531607538803,26,4.415,6.46546902654867,14.208,1.165
"8","BSM","1","4","M","20857971",2021,2021-01-01,14.1816286031042,24.931,5.552,4.49046017699115,10.42,0.679
"9","BSM","2","1","C","20857952",2021,2021-01-01,15.6757653543307,26.292,6.268,6.7560625,13.899,0.970000000000001
"10","BSM","2","1","M","20857991",2021,2021-01-01,14.0372317073171,23.292,7.079,3.30880530973451,7.937,0.388
"11","BSM","2","2","C","20857951",2021,2021-01-01,13.7806407982262,25.125,4.102,6.04944247787611,13.838,0.972
"12","BSM","2","2","M","20857983",2021,2021-01-01,13.8046685144124,22.621,6.268,3.47415044247788,8.325,0.582000000000001
"13","BSM","2","3","C","20857943",2021,2021-01-01,14.3886507760532,28.06,2.943,7.43146902654867,17.014,0.870999999999999
"14","BSM","2","3","M","20857957",2021,2021-01-01,14.5869811529933,26.683,4.934,5.61859292035398,13.31,0.872
"15","BSM","2","4","C","20857964",2021,2021-01-01,14.5674035476718,25.805,8.182,4.71780530973451,13.32,0.385
"16","BSM","2","4","M","20857986",2021,2021-01-01,14.1921596452328,24.738,6.775,3.82188495575221,10.704,0.581
"17","BSM","3","1","C","20857953",2021,2021-01-01,13.8050798226164,23.869,5.347,4.72246902654867,10.923,0.679
"18","BSM","3","1","M","20857959",2021,2021-01-01,13.9095532150776,22.812,6.37,3.31838053097345,7.558,0.679
"19","BSM","3","2","C","20857985",2021,2021-01-01,13.2254201773836,22.046,5.347,3.82691150442478,8.528,0.486000000000001
"20","BSM","3","2","M","20858010",2021,2021-01-01,13.7802239467849,23.292,6.37,3.84557522123894,9.09,0.582000000000001
"21","BSM","3","3","C","20857950",2021,2021-01-01,13.5249966740577,22.238,5.757,3.92308849557522,8.9,0.68
"22","BSM","3","3","M","20858017",2021,2021-01-01,14.0604046563193,23.292,6.37,3.75852212389381,8.792,0.679
"23","BSM","3","4","C","20857977",2021,2021-01-01,13.5606053215078,22.908,5.552,4.35107079646018,9.867,0.582000000000001
"24","BSM","3","4","M","20857988",2021,2021-01-01,13.6461407982262,23.196,4.934,4.23046902654867,9.501,0.970000000000001
"25","HM","1","1","C","20857954",2020,2020-01-01,13.4271318681319,23.484,4.934,5.03203296703297,11.18,1.276
"26","HM","1","1","M","20857994",2020,2020-01-01,13.0397815934066,24.062,3.893,5.49852747252747,12.243,1.337
"27","HM","1","2","C","20857976",2020,2020-01-01,13.1409739010989,23.581,4.311,5.46161538461538,11.508,1.146
"28","HM","1","2","M","20857981",2020,2020-01-01,12.9957403846154,21.378,5.141,3.71146153846154,8.495,1.087
"29","HM","1","3","C","20857980",2020,2020-01-01,13.1753118131868,21.855,5.141,3.9790989010989,9.068,1.181
"30","HM","1","3","M","20857992",2020,2020-01-01,12.8902912087912,21.473,5.347,3.77302197802198,8.499,0.956
"31","HM","1","4","C","20858004",2020,2020-01-01,12.811081043956,22.525,4.311,4.66810989010989,10.318,1.289
"32","HM","1","4","M","20857996",2020,2020-01-01,13.1112623626374,23.484,4.934,4.94010989010989,11.18,1.433
"33","HM","2","2","C","20857999",2020,2020-01-01,13.167739010989,22.142,4.415,4.94258241758242,9.845,1.336
"34","HM","2","2","M","20858016",2020,2020-01-01,13.7380796703297,24.255,4.831,5.33010989010989,11.275,1.43
"35","HM","2","3","C","20858002",2020,2020-01-01,13.2773557692308,23.966,5.347,5.08436263736264,11.856,0.98
