"","Station_ID","DateTime","daily_mean","daily_max","daily_min"
"1","BSM1",2021-06-10,-0.246315625,-0.2406,-0.2499
"2","BSM1",2021-06-11,-0.238508333333333,-0.2141,-0.2449
"3","BSM1",2021-06-12,-0.15363125,-0.0845,-0.2098
"4","BSM1",2021-06-13,-0.0920895833333333,-0.0798,-0.0998
"5","BSM1",2021-06-14,-0.093725,-0.0794,-0.1062
"6","BSM1",2021-06-15,-0.08620625,-0.0809,-0.0915
"7","BSM1",2021-06-16,-0.0983895833333333,-0.0777,-0.1134
"8","BSM1",2021-06-17,-0.0998895833333333,-0.0866,-0.1106
"9","BSM1",2021-06-18,-0.0887354166666667,-0.076,-0.0979
"10","BSM1",2021-06-19,-0.09339375,-0.0878,-0.0992
"11","BSM1",2021-06-20,-0.0980333333333333,-0.0897,-0.1071
"12","BSM1",2021-06-21,-0.0914604166666667,-0.0828,-0.0997
"13","BSM1",2021-06-22,-0.094125,-0.0827,-0.1079
"14","BSM1",2021-06-23,-0.0960729166666667,-0.0832,-0.1108
"15","BSM1",2021-06-24,-0.0935333333333333,-0.0862,-0.103
"16","BSM1",2021-06-25,-0.0958708333333333,-0.0851,-0.1074
"17","BSM1",2021-06-26,-0.0931729166666667,-0.0824,-0.1025
"18","BSM1",2021-06-27,-0.0931395833333333,-0.0874,-0.1011
"19","BSM1",2021-06-28,-0.104064583333333,-0.0917,-0.1203
"20","BSM1",2021-06-29,-0.0957104166666667,-0.0852,-0.1073
"21","BSM1",2021-06-30,-0.0963,-0.0851,-0.1085
"22","BSM1",2021-07-01,-0.10739375,-0.0902,-0.1257
"23","BSM1",2021-07-02,-0.130870833333333,-0.1179,-0.1451
"24","BSM1",2021-07-03,-0.15108125,-0.14,-0.1673
"25","BSM1",2021-07-04,-0.16375,-0.1553,-0.1738
"26","BSM1",2021-07-05,-0.17430625,-0.1708,-0.1793
"27","BSM1",2021-07-06,-0.175125,-0.171,-0.1828
"28","BSM1",2021-07-07,-0.185672916666667,-0.1745,-0.1978
"29","BSM1",2021-07-08,-0.204247916666667,-0.197,-0.2127
"30","BSM1",2021-07-09,-0.209277083333333,-0.2054,-0.2127
"31","BSM1",2021-07-10,-0.1997875,-0.1823,-0.2111
"32","BSM1",2021-07-11,-0.1187125,-0.0882,-0.1809
"33","BSM1",2021-07-12,-0.112375,-0.0852,-0.1378
"34","BSM1",2021-07-13,-0.145310416666667,-0.1374,-0.1541
"35","BSM1",2021-07-14,-0.152116666666667,-0.1501,-0.1557
"36","BSM1",2021-07-15,-0.147139583333333,-0.1234,-0.1626
"37","BSM1",2021-07-16,-0.144916666666667,-0.0772,-0.1653
"38","BSM1",2021-07-17,-0.0799416666666667,-0.0739,-0.0864
"39","BSM1",2021-07-18,-0.0883645833333333,-0.0834,-0.0944
"40","BSM1",2021-07-19,-0.0965645833333333,-0.0902,-0.1024
"41","BSM1",2021-07-20,-0.101097916666667,-0.0932,-0.1042
"42","BSM1",2021-07-21,-0.0956458333333333,-0.0866,-0.1065
